M667373528094801920,7, اصغر ورع يفرض سيطرته على الانثى ويفسرون كلام الله على هواهم الذي يوافق عاداتهم القبليه لماذا_يا_خوله_العنزي ,لا يمكن تحديده,سلبي
M667373559619133440,1, الا كل من يمدحهااااا وينشر لها صور ثبتنا ي الله لماذا_يا_خوله_العنزي ,كلاهما,محايد
M667373691198685184,27, الاسلام من سلم المسلمون من لسانه ويده لماذا_يا_خوله_العنزي,لا يمكن تحديده,محايد
M667374575378804736,2, الجميل ان السعوديات اذا تعروا وخلعوا ملابسهم يفعلونها خارج السعوديه لانها تعرف هنا بلاد الحجاب والحشمه ولن يسمح لها لماذا_ ,لا يمكن تحديده,سلبي
M667616873241051136,1, الحجاب ومنع التبرج حكم صريح بالنص من الله تعالى لا حكم القبيله وواجب على المسلم الانكار عليها لماذا_يا_خوله_العنزي,إيجابي,سلبي
M667391853537460224,101, الحريه ليست حجاب يرمى ولا دين يشتم ولا اخلاق تخلع هي رقي فكر واحترام عقل وبناا مستقبل جميل وعقيده تتمسك وتعتز بها لما ,إيجابي,سلبي
M667387129861926912,1, الحق ينقال الكلبه حلوه بس حاطه اسم قبيلتها ليش لماذا_يا_خوله_العنزي ,كلاهما,سلبي
M667424944721149952,4, الحياا من الايمان لماذا_يا_خوله_العنزي,لا يمكن تحديده,محايد
M667577853249232896,3, الحين لجين الهذلول تطالع صور خوله وتقول الله لايبلانا تستري يابنت لماذا_يا_خوله_العنزي,لا يمكن تحديده,سخرية
M667663930219720704,1, الحين يطلعون الجحلط خلي اختك تصير مودل كمان ههههههه جيبلنا اوختااك لماذا_يا_خوله_العنزي,سلبي,سخرية
M667371652741767168,4, الخلوه الغير شرعيه محرمه ماعدى مع السائق ويستمر مسلسل تناقضات مجتمعي لماذا_يا_خوله_العنزي,لا يمكن تحديده,سلبي
M667565466806824960,1, الشعب السعودي شعب مثقف وواعي ومسيطر على الوضع حلوا كل مشاكلهم ويتناقشون في موضوع خوله هي اساات لنفسها لماذا_يا_خوله_ال ,كلاهما,إيجابي
M667409274407141376,1, الشيخ خالد الراشد ما زال باب التوبه مفتوحا لماذا_يا_خوله_العنزي,لا يمكن تحديده,محايد
M667389688907436032,1, العادات هي اكثر سلطه من الدين فمثلا لون العبااه بدعه فليس لبس امهات المؤمنين اسود والشماغ بلا عقال ايضا عاده لماذا_يا_خوله_ا ,لا يمكن تحديده,محايد
M667371917205221376,77, الغربيات ملينا من زيف حضارتنا والسعوديات مدرعمات اقصى امانيها تركب سيكل وتتمشى بجينز لماذا_يا_خوله_العنزي ,لا يمكن تحديده,سخرية
M667409814214062080,4, الغريب اننا قمنا نخلط بين العادات والدين نخاف من الناس اكثر من رب الناس كل يوم انصدم من مجتعنا اكثر لماذا_يا_خوله ,لا يمكن تحديده,سلبي
M667529350078681088,1, الفدايي_عادل_العنزي الاول ارخص حياته لانقاذ البشر اما الثانيه ارخصت شرفها لشهره لماذ ,سخرية,كلاهما
M667462745751703552,1, الفدايي_عادل_العنزي شخص تفخر بفعله ويبيض وجهك ووجه قبيلته وشخص يزيدك غبن وودك انه ماخلق استغفرالله بس لماذ ,لا يمكن تحديده,كلاهما
M667440680663392256,3, الفلسفه اولها فلس و اخرها سفه اليوم_العالمي_للفلسفه لماذا_يا_خوله_العنزي اشياا_لاترجع اسم_بديل_للسناب_شات صارلي_س ,لا يمكن تحديده,سخرية
M667416611104686080,1, الكل مسؤول امام الله عن باب الفساد هذا واولهم الملك_سلمان فهل من وقفه تمنع عنا زوال النعم لماذا_يا_خوله_العنزي ,لا يمكن تحديده,سلبي
M667397636408877056,3, الله يعافينا مما ابلاتها استغفر الله لماذا_يا_خوله_العنزي ,لا يمكن تحديده,سلبي
M667462910793396224,3, الله يكثر من امثال اهلها لماذا_يا_خوله_العنزي,سخرية,إيجابي
M667403744909373440,3, الله يلعن ابو الفضاوه شعب فاضي قسم بالله اهب عليكم ما خليتو احد بحاله لماذا_يا_خوله_العنزي,لا يمكن تحديده,سلبي
M667778619695980544,1, الله يهديها ويردها للحق ولاتمثل الا نفسها وكل قبيله فيها الطيب والخيب الله يصلح الحال بس والله اني احبكم ياعيال وايل لما ,إيجابي,كلاهما
M667454405504016384,1, اللهم تواخذنا بما فعل السفهاا منا لماذا_يا_خوله_العنزي,لا يمكن تحديده,سلبي
M667375197507424256,1, اللهم لاتزغ قلبي بعد ان هديته يارب واجعلني ياالله متمسكتا بحجابي الى اخريوم ليه في هذه الحياه الدنيا لماذا_يا_خوله_العنزي,لا يمكن تحديده,سلبي
M667617525467860992,5, اللي دخلنا من راى منكم منكرا فليغيره بيده فان لم يستطع فبلسانه فان لم يستطع فبقلبه لماذا_يا_خوله_العنزي,لا يمكن تحديده,محايد
M667720857662447616,1, اللي معها يمنيه اسمها ريما وبويه بعد الله يحفظك خوله من ريما وطقتهم لماذا_يا_خوله_العنزي,سلبي,إيجابي
M667372423784898560,37, المراه السعوديه ستتحرر و تنال حقوقها غصبا عن اي بهيمه متخلف و الايام بيننا للامام يا خوله لماذا_يا_خوله_العنزي ,كلاهما,إيجابي
M667387176376786944,1, المستشرفين لم يحركهم تفجير الابرياا والمدنيين وفجرت غضبهم عارضه ازياا لماذا_يا_خوله_العنزي جمعيه_المستشرفين_السعوديين,سخرية,سلبي
M667387457277698048,4, المشكله جالسين تستشرفو ع الادميه عشان سعوديه وقبليه وفي صفحات اخرى يكتبو تتزوجيني ميريام تتزوجيني كيم تفو عليكم لماذا_يا_ ,سخرية,سلبي
M667394290876874752,5, الموضه مهما وصلت الى درجه من الجمال لن تكون اجمل من الستر و الحياا لماذا_يا_خوله_العنزي,إيجابي,سلبي
M667377806683295744,14, اماشباب قبيلتك فحتى لو نقطوا ع رقاصه تغني باسم قبيلتكم فهذه علوم مرجله والرجال مايعيبهم شيا لماذا_يا_خوله_العنزي ,سلبي,لا يمكن تحديده
M667376262898442240,10, امس في روتانا خليجيه لماذا_يا_خوله_العنزي رابط الحلقه مشاهده ممتعه ,لا يمكن تحديده,محايد
M667610039218229248,4, ان الله لا يصلح عمل المفسدين جده_تغرق تبوك_تغرق حفر_الباطن_تغرق لماذا_يا_خوله_العنزي اشتباك_العسكر_مع_المواطنين_في_ا ,لا يمكن تحديده,سلبي
M667420659207831552,3, ان لم تستح فافعل ماشئت لوموها ولومو كلاب ال سلول قيدو رزقها وجننو الشباب وكرهووهم بالزواج خوله_العنزي لماذا ,لا يمكن تحديده,سلبي
M667375095485235200,4, انا متاكد بان روتانا لن تستضيف الفدايي_عادل_العنزي لانه لايخدم اجندتها زي لماذا_يا_خوله_العنزي زمن غريب ,سخرية,سلبي
M667383626351398912,3, انا متاكده ان هناك من يقرا تعليقات باسماا بناتنا وشبابنا ويصاب بخيبه امل لاتخافوا شبابنا بخير هولاا شبكه وحده بتويتر لماذا ,لا يمكن تحديده,سلبي
M667440750406275072,1, انبسط اذا شفت سعوديه جميله تظهر جمالها للعالم او مفكره او دكتوره تكرم باكبر دول العالم كل امراه كسرت القيود هي مشرفه لماذ ,إيجابي,سلبي
M667373217544331264,37, انت حتى هويه وطنيه ما معك وتنتقدين خوله رغم دعم اسرتها لها ما لها ذنب خوله بوضعك الحالي لماذا_يا_خوله_العنزي ,سخرية,سلبي
M667404207549521920,1, اهم شيا يعارضونها بادب عارفين لو قذفوا و شتموها منا ولا منا بينسحبون مع خشومهم بما انه اهلها معها لماذا_يا_خو ,سلبي,سخرية
M667386070535938048,54, اولا ياحبكم للفتنه بين الناس وخاصتا للقبائل المعروفه ثانيا كل شخص لا يمثل الا نفسه لماذا_يا_خوله_العن ,كلاهما,سلبي
M667387243787591680,3, ايش اللي لماذا حضرتك واحد من اهلها حتتحاسب عنها حتنضر بدالها مسؤول عنها لا اذن خلاص انشغل بنفسك وبعيلتك لماذا_يا ,محايد,سلبي
M667393373637115904,1, بالامس في بلدي نحتفل ب تخريج_500حافظ_للسنه وتم تغيبهم عنوه في الاعلام اليوم تحتفي قنوات العهر بصنيعها في مجتمعنا لماذا ,لا يمكن تحديده,سلبي
M667441745249087488,22, بالفيديو ماذا فعلت خوله العنزي في اخر ظهور لها على الشاشه لاحول ولا قوه الا بالله لماذا_يا_خ ,سلبي,محايد
M667374891860140032,5, بالنسبه لقطيع الدواعش فان واحد من المظهرين مقبول و الاخر غير مقبول اترك التخمين لكم لماذا_يا_خوله_العنزي ,لا يمكن تحديده,سلبي
M667379326254469120,21, باي عصر عايشين انتهت ايام حكم القبيله كل شخص يمثل نفسه ولا احد له علاقه بغيره لماذا_يا_خوله_العنزي,إيجابي,سلبي
M667452873832275968,1, بسم الله اكلتوها اقل شي انسانه واضحه وبينت ميولها وماكفرت الله الله بمجتمعنا فيه اخس من خوله ومن تحت ل تحت تفكير غبي لماذ ,كلاهما,سلبي
M667607818942418944,1, بشريعه من بشريعه امك لدينا كلام الله وكلام رسوله في الانكار على امثالها اما كلامك بله واشرب مااه لماذا_يا_خوله_العنزي,إيجابي,سلبي
M667399530279772160,1, بف باف اسهل طريقه لتخلص من افات المجتمع لماذا_يا_خوله_العنزي,سلبي,سخرية
M667397934443556864,2, بنت خلقها الله سترها حياها وبنت رمت جلباب الاسلام رميه تعرض جسدها كل عين تراها صارت لخلقان الخواجات دميه لماذا ,كلاهما,سلبي
M667610369268039680,1, ترى ابو لهب عم الرسول ولا يزكيه هذه نزعت الحجاب كليا ولا يقرها مسلم يقرا كلام الله ورسوله مطلقا لماذا_يا_خوله_العنزي,سلبي,لا يمكن تحديده
M667374990929600512,15, تعتبر قنوات mbc وروتانا ان تعريه اي فتاه سعوديه نصر لهم وانجاز النصر والانجاز اذا استطعتهم تعريتهم هنا وليس بدبي لماذا_ي ,لا يمكن تحديده,سلبي
M667555115591712768,1, تقصدين بالكثيرات الابقار لماذا_يا_خوله_العنزي,لا يمكن تحديده,سلبي
M667772553931419648,3, حجاب المراه شانها هي فقط كونك سعودي لا يعني بانك تملك حق الوصايه لماذا_يا_خوله_العنزي,محايد,سلبي
M667432688404586496,41, خاص عارضه الازياا السعوديه ابنه العشرون ربيعا خوله العنزي جمال لا يصدق لماذا_يا_خوله_العنزي,إيجابي,كلاهما
M667586684725411840,1, خلاص حكموا عليها بالنار الحمدلله ان رب النار ارحم من داعشيتكم وان العقاب بيده لا بايديكم لماذا_يا_خوله_العنزي ,إيجابي,سلبي
M667390583053393920,1, خلصتو من روز و الحين اشتغلوا على خوله هههههههه لو كانت مو سعوديه كنا شفنا المديح و الغزل من اللي يهاجموها بالهاشتاق لماذا_يا_ ,سخرية,سلبي
M667372130925981696,1, خلوها لها رب يحاسبها الهياط باسم القبيله ماصار مجدي للاسف لماذا_يا_خوله_العنزي,كلاهما,سلبي
M667394758302695424,3, خوله الجمال_السعودي لماذا_يا_خوله_العنزي ,إيجابي,محايد
M667400025983467520,10, خوله العنزي تكسر العادت والتقاليد السعوديه لماذا_يا_خوله_العنزي,سلبي,محايد
M667409321177780224,1, خوله العنزي مودل روز مايمثلون الا انفسهم ولا يمثلون مجتمعنا السعودي لماذا_يا_خوله_العنزي,محايد,سلبي
M667465748621737984,1, خوله_العنزي لماذا_يا_خوله_العنزي ليش متشوفون الزين مثل الشيخ احمد بن حنبل وامام الحرم السديس كلهم من عنزه شعب ,سخرية,لا يمكن تحديده
M667372044514930688,51, داعيه اوروبيه وساقطه سعوديه الاسلام بك او بدونك سينتصر وانت من يستمر بالسقوط لماذا_يا_خوله_العنزي ,كلاهما,سلبي
M667742400429883392,1, دع الخلق للخالق الامر بالمعروف يجي باسلوب حلو مو بالسب والشتم اذا انت هامك ااي يصير اقل شي ادعي لها بالهدايه بدون سب لماذا_يا ,إيجابي,سلبي
M667377743621955584,13, دع الخلق للخالق لا تتشمت فتبتلى وتكون من النادمين صالح_المغامسي لماذا_يا_خوله_العنزي,لا يمكن تحديده,سلبي
M667460148835807232,4, دعشنه غالبيه المجتمع السعودي تستطيع ان تراها كل يوم بهاشتاغ واليوم بهاشتاغ لماذا_يا_خوله_العنزي صوره حركت دعشنتهم ,لا يمكن تحديده,سلبي
M667547855868059648,3, دعوا الخلق للخالق وفتشوا في عيوبكم قبل عيوب البشر واصلحوا انفسكم قبل اصلاح الغير لماذا_يا_خوله_العنزي,لا يمكن تحديده,محايد
M667483788683943936,1, ذنبها على جنبها والدين واضح ليش معطينها اكبر من حجمها ومسوين هاشتاق كلا بعقله يعيش لماذا_يا_خوله_العنزي,كلاهما,سلبي
M667375798177947648,3, ربنا لا تؤاخذنا بما فعل السفهاا منا الله يهديك ومن معك والله ما نامن من عقوبه الله لماذا_يا_خوله_العنزي الايه ,لا يمكن تحديده,سلبي
M667376920460414976,1, رسالتي الى جميع اخواني واخواتي افعلو ماتشاون في هذه الدنيا ولكن اعلموا انه سوف نتحاسب على كل صغيره وكبيره لماذا_يا_خوله_العنزي,لا يمكن تحديده,محايد
M667613894278533120,2, رفعت راسك انتي وال 34 مغازلجي اللي رتوتوا لك من يعصي امر الله تعالى لا يرفع راس مسلم لماذا_يا_خوله_العنزي,لا يمكن تحديده,سلبي
M667461660911734784,5, سكوت العلماا وولاه الامر عن هذا الافساد في البلد مهبط الوحي يفقد الشباب الثقه بهم ويدفعهم للتطرف لماذا_يا_خوله_العنزي ,سلبي,لا يمكن تحديده
M667376112650031104,3, سود الله وجهك لماذا_يا_خوله_العنزي ,لا يمكن تحديده,سلبي
M667565520305184768,1, شخصيا ضد تصرفها لكن من انتم حتى تدخلون الناس الجنه والنار ياجماعه هي عاصيه لكن لايصل الموضوع للقذف لماذا_يا_خوله_العنزي,كلاهما,سلبي
M667618881775734784,3, شغل غابات ووحوش والله العظيم لماذا_يا_خوله_العنزي ,لا يمكن تحديده,سلبي
M667632025365516288,14, شكلي وانا اتفرج على هواشكم لماذا_يا_خوله_العنزي ,لا يمكن تحديده,محايد
M667696652967419904,1, ضع_اسم_مغرد_في_جمله لماذا_يا_خوله_العنزي تقسيم الامه هدف ايران المجوسيه وداعش الصهيوامريكيه ,لا يمكن تحديده,سلبي
M667379586557177856,35, طبعا النقاش وكما جرت العاده عند مجتمعنا الواعي من وعاظ وادباا ومفكرين ستكون تغريداتهم في اتجاهين لماذا_يا_خوله_ال ,لا يمكن تحديده,محايد
M667371940328439808,16, طبقوا مبدا لست عليهم بوكيلا لتعيشو مثل باقي الشعوب المتصالحه مع نفسها حيث لاوصايه ولامراقبه فيها كل شخص يمثل نفسه لماذ ,إيجابي,محايد
M667495807155879936,1, طيب لماذا هاذي خوفا من الخلق او الخالق لماذا_يا_خوله_العنزي,لا يمكن تحديده,محايد
M667455975104913408,3, عاد سويتوا لها دعايه بصراحه اهنيكم نشرتوا حسابها بسناب وتويتر ولست يعني دعايه مجانيه لماذا_يا_خوله_العنزي,لا يمكن تحديده,سخرية
M667391447512055808,2, عادل العنزي انقذ عائله هو اللي يشرف المسلمين وعنزه وكل سعودي تربينا على الفزعه والنخوه لماذا_يا_خوله_العنزي ,لا يمكن تحديده,إيجابي
M667396745039626240,1, عاهات مجتمع ليس الا لماذا_يا_خوله_العنزي,لا يمكن تحديده,سلبي
M667386603485179904,1, عشان طلعت بالتلفزيون او صارت عارضه خلاص حكموا عليها بالنار وهم بالمحرمات يخوضون ويستحلونها لهم وكانه الله حللها لهم لماذا ,كلاهما,محايد
M667387905543970816,2, عندما سمعن الصحابيات ايه الحجاب لم يستشرن ازواجهن ابااهن على الفور نفذن امر الله لماذا_يا_خوله_العنزي ,لا يمكن تحديده,محايد
M667484616102649856,4, عندما يتربى المجتمع على العيب قبل الحرام لاتتعجب من رجل لايصلي ويامر زوجته بالستر لماذا_يا_خوله_العنزي لماذا_يا ,لا يمكن تحديده,سلبي
M667371911106686976,62, فرنسيه تقاتل وتسجن حتى لا تخلع حجابها وسعوديه تخلع ملابسها للعرض الاسلام ليس له جنسيه لماذا_يا_خوله_العنزي ,لا يمكن تحديده,محايد
M667403426268119040,1, فلا تحسب الانساب تنجيك من لظى ولو كنت من قيس وعبد مدان ابو لهب في النار وهو ابن هاشم وسلمان في الفردوس من خرسان لماذا_يا_ ,لا يمكن تحديده,محايد
M667475499078283264,1, فلت شعرها واقبل الحسن يختال عنقااا جدايلها الهبوووب نثرتها lt زد_رصيدك5 لماذا_يا_خوله_العنزي صارلي_سنه,لا يمكن تحديده,إيجابي
M667393727468556288,31, قال صنفان من اهل النار لم ارهما ومنهم نساا كاسيات عاريات مميلات مائلات رؤوسهن كاسنمه البخت المائلات لماذا_يا_خو ,لا يمكن تحديده,سلبي
M667377144113340416,19, قايلن بها ه ه لماذا_يا_خوله_العنزي ,لا يمكن تحديده,سخرية
M667395425905844224,1, قبل ساعات سمعنا عن عنزي ينقذ عائله من الغرق والان نسمع عن هذه المتبرجه دلاله ان كل شخص يمثل نفسه وتربيه عائلته لماذا_يا_خول ,كلاهما,سلبي
M667392291938652160,5, قبيله عنزه العريقه لا يشينها فعل شاذ من اي فرد ينتسب لها هذا الامر يخصه وحده وكل حر في اختياره ومسئول عن نتيجه ذلك لماذا_يا ,سلبي,كلاهما
M667765199173218304,3, قريبا المراه السعوديه سوف تقف لجانب اخواتها من الخليج ومصر وتركيا وتونس وسوريا والعراق وفلسطين وكوباني وتقول انا هنا ,لا يمكن تحديده,محايد
M667450589555630080,1, قلت قبل كذا جيل قادم يخووووف الله يستر منهم والله يهديها لماذا_يا_خوله_العنزي,لا يمكن تحديده,سلبي
M667371864830910464,15, قم ه الاثاره شاهد عارضه ازياا سعوديه ملقبه ب باربي الخليج لماذا_يا_خوله_العنزي ,إيجابي,لا يمكن تحديده
M667782373313011712,1, كبرتو السالفه على شي تافه لماذا_يا_خوله_العنزي,لا يمكن تحديده,سلبي
M667615382673465344,1, كذابه التكافل الاجتماعي في مجتمعنا عظيم والتحويلات الخيريه بالمليارات لكن يمكن تعيشين في بيئه بخيله لماذا_يا_خوله_العنزي,لا يمكن تحديده,سلبي
M667383107616710656,3, كل الامنيات و الدعوات لام عناز بالتوفيق و النجاح في حياتها العمليه لماذا_يا_خوله_العنزي,لا يمكن تحديده,سخرية
M667600109035720704,1, كل امتي معافى الا المجاهرون لماذا_يا_خوله_العنزي,لا يمكن تحديده,سلبي
M667399050786926592,3, كل انسان يمثل نفسه ولادخل للقبيله في هذا الاثم ولاتزر وازره وزر اخرى ونحن في زمن القابض على دينه كالقابض على الجمر لم ,كلاهما,سلبي
M667375435714531328,3, كل شخص بهذه الحياه يمثل نفسه ويمثل طريقه تربيه بعيد عن القبايل ف القبيله اكبر من ان يمثل شخص واحد لماذا_يا_خوله_العنزي,كلاهما,محايد
M667374958021079040,39, كل شخص يمثل نفسه العنوزاهل الوفاا في راس قمه كلنا معهم ونلطم كل عايل لماذا_يا_خوله_العنزي ,كلاهما,إيجابي
M667411903174606848,4, كل م ينزل التاق ترفعوه خلوها تولي بس وتوقفو عن جعل الحمقى مشاهير امس مريم حسين واليوم خوله لماذا_يا_خوله_العنزي ,إيجابي,سلبي
M667581267072958464,2, كل من تعلمت اصول دينها في مدارسنا تذم وينكر عليها ان ادبرت عن الحق الذي عرفت بعكس من تجهل لماذا_يا_خوله_العنزي ,لا يمكن تحديده,محايد
M667376091351379968,3, كل من ضيع اصله قاله انا عنزي لماذا_يا_خوله_العنزي,سلبي,سخرية
M667477511610212352,4, كل نفس ذائقهالموت وانماتوفون اجوركم يوم القيامه اعملي ماشاتي فسكرات الموت و القبرمصيرنا باب التوبه مفتوح توبوالى الله لما ,لا يمكن تحديده,محايد
M667432749683376128,1, كم_مره_طلعت_مع_بنت شوفوا الفرق بين التعليقات والعقليات هنا وهنا لماذا_يا_خوله_العنزي الله يصلح لنا ولكم النيه والذريه ياعلماا ,لا يمكن تحديده,محايد
M667732949329125376,11, كما توقعت لن يقلب الطاوله على رؤوس الرجعيين غير نسائهم لماذا_يا_خوله_العنزي,سخرية,سلبي
M667382613196349440,2, كيف بدا العري في مصر دعوا الخالق للخالق ان الله غفور رحيم كل واحد حر بحياته ربنا المحاسب اتعري قطي ملابسك بس هنا لا لماذا_ ,إيجابي,محايد
M667452545195970560,4, لا زال بناتنا ونسائنا يرفعون رؤوسنا جواهر مكنونه هم الاساس ونحن الرجال الفروع لهم خادمون لماذا_يا_خوله_العنزي ,لا يمكن تحديده,إيجابي
M667391816061308928,2, لاتمثل الا نفسها وعائلتها هداها الله ولكن المصيبه في هذا الاعلام المغرض والذي يهدف لتشجيع مثل هؤلاا بحجه التقدم لماذا_يا_خو ,محايد,سلبي
M667652861497618432,1, لاحول ولاقوه الا بالله دعوا الخلق للخالق واعصموا انفسكم عن الكلام الذي يزيدكم ذنوب لماذا_يا_خوله_العنزي,لا يمكن تحديده,محايد
M667567493108670464,25, لم تفجر مسجد ولم تحرض ضد الدول ولم تسرق ميزانيه الصرف الصحي ولم توظف اقاربها بالوزاره ولم تقول مشكله الاسكان فكر لماذا ,إيجابي,محايد
M667453923704381440,1, لم يكن التبرج على مدى التاريخ من صفات بنات ونساا الاحرار والنبلاا اما بنات فلا حرج في ذلك لماذا_يا_خوله_العنزي,سخرية,إيجابي
M667374416251199488,3, لماذا ياخوله الم تعلمي انك تنتمين لقبيله عريقه لماذا_يا_خوله_العنزي,سلبي,محايد
M667407142798950400,1, لماذا_يا_خوله_العنزي 2 ياتي الانحراف نتيجه لضغوط نفسيه داخليه تؤثر مباشره على الفرد فتدفعه للانحراف والتمرد على ثقافه وتقاليد المجتمع,محايد,سلبي
M667377996517523456,1, لماذا_يا_خوله_العنزي 95 من الناس عرفوها بسبب الهاشتاق لو سكتوا محد درا عنها,محايد,سخرية
M667375374423203840,1, لماذا_يا_خوله_العنزي ابتعدوا عن اعراض غيركم اصبحنا في زمن من عاب فيه ابتلى ,إيجابي,سلبي
M667409667543408640,1, لماذا_يا_خوله_العنزي ابو تخلف بس ,لا يمكن تحديده,سلبي
M667388604331593728,1, لماذا_يا_خوله_العنزي ابوها وامها راضين ولها رب يحاسبها تقوم تقذفها و تشكك في عرضها ليش دع الخلق لخالقها,كلاهما,سلبي
M667483019998007296,1, لماذا_يا_خوله_العنزي ابي اقول لاهلهاا كلكم راع وكلكم مسئول عن رعيته والله يهديهاا ,إيجابي,سلبي
M667473790109147136,1, لماذا_يا_خوله_العنزي اتركو الخلق للخالق وش القافه الي فيكم اذا اهلها مشجعينها من انتم لتعترضون انشغلو بانفسكم الله يهديكم,إيجابي,سلبي
M667383514459934720,1, لماذا_يا_خوله_العنزي اتركوا موضوع الانحلال والمحارم ع جنب الغيره تفضحك يا جنط ,سخرية,سلبي
M667464981634555904,1, لماذا_يا_خوله_العنزي اتركوهااا وشانهااا هي تعرف الصح والغلط اكثر منكم اصلااكثر السعوديات لو اهلهم والقبيله ممكن يسوون مث ,إيجابي,محايد
M667411791404785664,5, لماذا_يا_خوله_العنزي اتساال هل لقب القبيله حق للفرد ام حق للقبيله عليه وهل هو هبه تمنح مادام الفرد لا يخرج عن اط ,لا يمكن تحديده,محايد
M667721927973330944,1, لماذا_يا_خوله_العنزي اتعلمو يكون مالكم شغل انشغل في نفسك ي بني ادم هي ماتمثلك هيا تمثل نفسها وراضيه واهلها راضين انت مالك ,إيجابي,محايد
M667410899867705344,1, لماذا_يا_خوله_العنزي اتمنا مانكون كمصر نشغل انفسنا بلعاهرات حكومه وشعب ونترك العلم واهله يكفينا فخرصناعه الاقمار ولحملات مهب فارغه,كلاهما,سلبي
M667387614459256832,1, لماذا_يا_خوله_العنزي اتمنى ان يكون الهدف من انشاا الهاش هو الكلمه الطيبه والموعظه الحسنه لها ولي ولكل من وقع في خطا او محظور لنرتقي احبتي,إيجابي,محايد
M667391486670077952,1, لماذا_يا_خوله_العنزي اتوقع ان ولا احد منكم له حق يتدخل ويسب ويشتم ولا يحكم عليها فيه الله فوق وهو رقيب حسيب وكفى بالله ,إيجابي,سلبي
M667402762553028608,1, لماذا_يا_خوله_العنزي اجل شعرها اصفر والله لو تحطينه ازرق احب الالوان الى قلبي تظلين بشسع نعل هالمزه المغربيه ,سلبي,لا يمكن تحديده
M667426976282619904,2, لماذا_يا_خوله_العنزي اجل لماذا مازالت لدينا مشكله وهي ان الشرف بين رجلي النساا,سخرية,لا يمكن تحديده
M667387066595061760,1, لماذا_يا_خوله_العنزي احب اوصل رساله لخوله وغيرها ان ليس كل ماتشتهيه النفس وتطرب له ممكن ان نمارسه نحن مسلمين ومقياسنا هو ماوافق الشرع,إيجابي,لا يمكن تحديده
M667395990345916416,5, لماذا_يا_خوله_العنزي احتشام الفتاه في لبسها لايعني جهلها بالموضات بل هي اجابه لربها من يوافقني يعيد ارسالها ,إيجابي,سلبي
M667372358232076288,1, لماذا_يا_خوله_العنزي احسنوا الظن بهذه القبيله العريقه فمن السهل على الشخص تسميه نفسه على اي قبيله فربما انها ليست منهم ,إيجابي,محايد
