"V1","V2"
"يخلي","positive"
"يستحق","positive"
"يسعدك","positive"
"يشكر","positive"
"اتمنى","positive"
"احترام","positive"
"احترامي","positive"
"ارق","positive"
"استمتعنا","positive"
"اشرف","positive"
"اصدق","positive"
"اقوى","positive"
"الاقوى","positive"
"الاهداف","positive"
"التقدير","positive"
"الحلاوه","positive"
"الحماس","positive"
"الذهبيه","positive"
"الرائع","positive"
"الطيبه","positive"
"العفو","positive"
"الفضل","positive"
"الفوز","positive"
"القوي","positive"
"المفضله","positive"
"فضل","positive"
"فوز","positive"
"يفوز","positive"
"تثبيت","positive"
"تستحق","positive"
"تقدير","positive"
"حبايب","positive"
"حفله","positive"
"حقق","positive"
"خطير","positive"
"دقه","positive"
"ذهبيه","positive"
"راقي","positive"
"زينه","positive"
"صدقت","positive"
"عاجبني","positive"
"فاز","positive"
"قوه","positive"
"قويه","positive"
"مبسوطه","positive"
"مبهر","positive"
"محبتي","positive"
"مهم","positive"
"يعشقون","positive"
"يفوزون","positive"
"OK","positive"
"اتحداكم","positive"
"احترمت","positive"
"احسنت","positive"
"احول","positive"
"احيي","positive"
"اريحيه","positive"
"استمروا","positive"
"استمري","positive"
"اشكركم","positive"
"اصابت","positive"
"اضخم","positive"
"اطهر","positive"
"اعظمها","positive"
"اكثر","positive"
"الاعتذار","positive"
"الذكي","positive"
"الذيابه","positive"
"الرائده","positive"
"السرعه","positive"
"السريع","positive"
"الشامخ","positive"
"العوض","positive"
"الفل","positive"
"القديره","positive"
"اللوز","positive"
"المثال","positive"
"المصداقيه","positive"
"اندمجت","positive"
"اهنيكم","positive"
"اوجعت","positive"
"اوجعتهم","positive"
"بالفخر","positive"
"بتضبط","positive"
"بحب","positive"
"بحبك","positive"
"بحبكن","positive"
"بنجاح","positive"
"تبدع","positive"
"تحارب","positive"
"تحبون","positive"
"ترفع","positive"
"تشكر","positive"
"تعاونكم","positive"
"تعزف","positive"
"تفضل","positive"
"تنافسون","positive"
"تنبض","positive"
"تنحل","positive"
"توحيد","positive"
"توفر","positive"
"حابين","positive"
"حسن","positive"
"حلت","positive"
"حلوين","positive"
"حياديه","positive"
"ذهبي","positive"
"رائده","positive"
"راقيه","positive"
"ريح","positive"
"زاد","positive"
"زوين","positive"
"زياده","positive"
"سرعات","positive"
"سريع","positive"
"سلطت","positive"
"شطرا","positive"
"شغال","positive"
"شفافيه","positive"
"شهاداتك","positive"
"صادقين","positive"
"صاروخيه","positive"
"صريحه","positive"
"ضحكتها","positive"
"طاهر","positive"
"طلعت","positive"
"طياره","positive"
"عرض","positive"
"عرفت","positive"
"عفويتها","positive"
"فاضي","positive"
"فرقت","positive"
"فل","positive"
"قيمتك","positive"
"قيمه","positive"
"كثير","positive"
"كشف","positive"
"كشفت","positive"
"كشفتكم","positive"
"كشفها","positive"
"كويسين","positive"
"لعيونكم","positive"
"مؤثر","positive"
"مستانسه","positive"
"مشكورين","positive"
"مصداقيه","positive"
"معقول","positive"
"مميزه","positive"
"منشكر","positive"
"منوره","positive"
"ناجح","positive"
"ناجحه","positive"
"نبيل","positive"
"نحبكن","positive"
"يخليكم","positive"
"يرفع","positive"
"يميزه","positive"
"الاخلاص","positive"
"رعاك","positive"
"احب","positive"
"احترام","positive"
"افضل","positive"
"الحماس","positive"
"الحمدلله","positive"
"السعاده","positive"
"حلو","positive"
"شكرا","positive"
"فرحه","positive"
"مباركه","positive"
"مبروك","positive"
"مزز","positive"
"يشكر","positive"
"الفوز","positive"
"يعشقون","positive"
"يفوز","positive"
"يفوزون","positive"
"تحسين","positive"
"تعاون","positive"
"حظ","positive"
"فاز","positive"
"فوز","positive"
"نستانس","positive"
"احترام","positive"
"اصدق","positive"
"اصدقائي","positive"
"اتمنى","positive"
"اهلا","positive"
"رعاك","positive"
"اصدقائي","positive"
"الفوز","positive"
"مبارك","positive"
"الصميم","positive"
"ممتاز","positive"
"فوز","positive"
"اهلا","positive"
