"V1","V2"
"لا يجتمع","negative"
"لا يجوز","negative"
"لا يجيب","negative"
"لا يجيبه","negative"
"لا يحتاج","negative"
"لا يحطون","negative"
"لا يحقق","negative"
"لا يحيهم","negative"
"لا يخدم","negative"
"لا يخضع","negative"
"لا يذهب","negative"
"لا يرضون","negative"
"لا يزال","negative"
"لا يستحق","negative"
"لا يسمع","negative"
"لا يشرف","negative"
"لا يشغلنا","negative"
"لا يشكر","negative"
"لا يعاقبنا","negative"
"لا يعطيه","negative"
"لا يفتنا","negative"
"لا يقدر","negative"
"لا يقوله","negative"
"لا يكثر","negative"
"لا يكفي","negative"
"لا يليق","negative"
"لا يمكن","negative"
"لا يمكنه","negative"
"لا ينظر","negative"
"لا يوجد","negative"
"لعبه بزران","negative"
"لعنه الله","negative"
"لن تتحقق","negative"
"لن تطبق","negative"
"لن نرضى","negative"
"لن يبني","negative"
"لن يتغير","negative"
"لن يتم","negative"
"لن يحصل","negative"
"لن يحل","negative"
"لن يدفعوا","negative"
"لن يستفيد","negative"
"لن يسكت","negative"
"لن يسمح","negative"
"لن يفلح","negative"
"لن يوافق","negative"
"ليش فرحانين","negative"
"ليه تعلقون","negative"
"ما احب","negative"
"ما احفز","negative"
"ما احللهم","negative"
"ما استفاد","negative"
"ما استفدنا","negative"
"ما اشوف","negative"
"ما اوسخكم","negative"
"ما بعدكم","negative"
"ما بنروح","negative"
"مابي تعليق","negative"
"ما تبلبلون","negative"
"ما تتطور","negative"
"ما تتيسر","negative"
"ما تجمل","negative"
"ما تجي","negative"
"ما تجينا","negative"
"ما تحسون","negative"
"ما تستحون","negative"
"ما تشمون","negative"
"ما تطمن","negative"
"ما تعلق","negative"
"ما تفتح","negative"
"ما تلحقكم","negative"
"ما تمت","negative"
"ما تنفتح","negative"
"ما تهنيت","negative"
"ما حب","negative"
"ما درستوا","negative"
"ما راح","negative"
"ما راعوا","negative"
"ماستحيت","negative"
"ما سلمنا","negative"
"ما سوو","negative"
"ما شبعتوا","negative"
"ماصارت","negative"
"ما طاعك","negative"
"ما عجبني","negative"
"ما غرقت","negative"
"ما فرحت","negative"
"ما في فايده","negative"
"ما فيه اسعاده","negative"
"ما فيه انصاف","negative"
"ما لنا رب","negative"
"مالها داعي","negative"
"مالها فايده","negative"
"ماله داعي","negative"
"ما لهم رب","negative"
"ما نبغاها","negative"
"ما نبغى","negative"
"ما نبي","negative"
"ما نبي تعليق","negative"
"ما نبيه","negative"
"ما نبيها","negative"
"ما نحتاج","negative"
"ما نحناج","negative"
"ما نريدها","negative"
"ما نشوف","negative"
"ما نشوفه","negative"
"ما نضجت","negative"
"ما نطبل","negative"
"ما نفرح","negative"
"ما هذا","negative"
"ماهقيت","negative"
"ماهقيتها","negative"
"ماهم كفؤ","negative"
"ما ياجلون","negative"
"ما يبشر","negative"
"ما يبون","negative"
"ما يتزحزح","negative"
"ما يثور","negative"
"ما يحتاج","negative"
"ما يحزنني","negative"
"ما يحطونها","negative"
"ما يساعدون","negative"
"ما يستاهل","negative"
"ما يستاهلون","negative"
"ما يستدعي","negative"
"ما يسمحوا","negative"
"ما يسمحون","negative"
"ما يشبع","negative"
"ما يصلح","negative"
"ما يصير","negative"
"ما يطمن","negative"
"ما يعلقون","negative"
"ما يعلقونها","negative"
"ما يفتحون","negative"
"ما يفتحونه","negative"
"ما يفتحونها","negative"
"ما يفتحوها","negative"
"ما يفرح","negative"
"ما يكفي","negative"
"ما يمشي","negative"
"ما ينفذ","negative"
"ما ينفع","negative"
"ما يوافقوا","negative"
"مب زينه","negative"
"مب فاهم","negative"
"مب لايق","negative"
"مب مقتدرين","negative"
"م تجي","negative"
"مخاطره كبير","negative"
"مع الاسف","negative"
"م نبغى","negative"
"م نبي","negative"
"م نحتاج","negative"
"مو لازم","negative"
"مو مؤيده","negative"
"مو مرتاح","negative"
"مو معقوله","negative"
"مو مقتنعه","negative"
"مو هادف","negative"
"مو وقته","negative"
"م يتحمل","negative"
"هتزيد اسعار","negative"
"هداها الله","negative"
"وجه العنز","negative"
"وش الفايده","negative"
"عديمه اصل","negative"
"ولادين","negative"
"ولانصلح","negative"
"ولايذهب","negative"
"ولايسمع","negative"
"ولن يسمح","negative"
"يابعارين","negative"
"يابغضي","negative"
"ياتوافه","negative"
"ياجحده","negative"
"ياحسافتك","negative"
"ياحسافه","negative"
"ياحسرتي","negative"
"ياحظهم","negative"
"ياخبلان","negative"
"ياخوفك","negative"
"ياخوفي","negative"
"يادشير","negative"
"يادلوخ","negative"
"يارعاع","negative"
"ياساتر","negative"
"ياشينها","negative"
"ياصايعين","negative"
"ياطقوع","negative"
"ياغبني","negative"
"ياكسر","negative"
"ياكلاب","negative"
"يامتخلفين","negative"
"يامفسدين","negative"
"يامفلسين","negative"
"ياملاقيف","negative"
"ياهمج","negative"
"ياويلكم","negative"
"يخرب بيتك","negative"
"يخرب بيته","negative"
"ابن التراب","negative"
"ابن الحرام","negative"
"ابن الكلب","negative"
"ابن كلب","negative"
"ابنا المتعه","negative"
"ابو صياح","negative"
"ابو كلب","negative"
"ابو هيط","negative"
"اتقو االله","negative"
"اتلف اعصابهم","negative"
"اخضع ي وضيع","negative"
"استمرو بصياحكم","negative"
"اشباه رجال","negative"
"اضعف من الضعيف","negative"
"اعصابي تلفت","negative"
"اعلاميي الغفله","negative"
"اقل من عادي","negative"
"اكبر غلطه","negative"
"اكلت تراب","negative"
"الاعمى يشوفها","negative"
"التبطح للفقر","negative"
"التراب اكلناه","negative"
"الثقه الزايده","negative"
"الحكام ضدنا","negative"
"الحمار حمار","negative"
"الخدم انشخلوا","negative"
"الدفع الخلفي","negative"
"الدفع الرباعي","negative"
"الدفع الملكي","negative"
"الدفع التحكيمي","negative"
"الدوري الهندي","negative"
"الرعب للحكام","negative"
"السلبي جدا","negative"
"الصوص الاصفر","negative"
"الضغط النفسي","negative"
"الطحالب تتصفق","negative"
"الطمع شين","negative"
"الغير شرعيه","negative"
"الغير عادل","negative"
"الغير محتسب","negative"
"القم ياخدم","negative"
"الله حسيبك","negative"
"الله حسيبكم","negative"
"الله لايبلانا","negative"
"الله لايحطني","negative"
"الله لايرده","negative"
"الله لايسامح","negative"
"الله لايسامحك","negative"
"الله لايلوم","negative"
"الله لايوفق","negative"
"الله لايوفقك","negative"
"الله لايوفقه","negative"
"الله ياخذ","negative"
"الله ياخذ عمرك","negative"
"الله ياخذك","negative"
"الله ياخذه","negative"
"الله يبعدك","negative"
"الله يحوك كبدك","negative"
"الله يشل","negative"
"الله يشيلك","negative"
"الله يعمي","negative"
"الله يعمي عينك","negative"
"الله يقلع","negative"
"الله يلعن","negative"
"الله يلعنك","negative"
"الله يلعنهم","negative"
"الله ينتقم","negative"
"اللهم انتقم","negative"
"اللهم عليك","negative"
"اللهم كما حرم","negative"
"اللهم لا شماته","negative"
"انبطاح الخدم","negative"
"انبطاح الخدم للفقر","negative"
"اهب عليه","negative"
"اي كلام","negative"
"اين العداله","negative"
"بتطير الصداره","negative"
"بدري عليك","negative"
"بدون تركيز","negative"
"بدون تنظيم","negative"
"بدون خجل","negative"
"بدون ضمير","negative"
"بدون فائده","negative"
"بدون نفس","negative"
"بدون هويه","negative"
"بدونه افضل","negative"
"بفلسفته نخطرا","negative"
"بقله الادب","negative"
"بلا فائده","negative"
"بلا هويه","negative"
"بن كلب","negative"
"بنو فقر","negative"
"بني فقر","negative"
"تحت الضغط","negative"
"تحيب الجلطه","negative"
"تخلى الحكم عن امانته","negative"
"جاكم الموت","negative"
"ثقه زايده","negative"
"جاب العيد","negative"
"جلاد الطحالب","negative"
"جلد الطحالب","negative"
"جن جنونه","negative"
"حامت كبدي","negative"
"حسبنا الله ونعم الوكيل","negative"
"حسبي الله على من تركه","negative"
"حسبي الله عليكم","negative"
"حسبي الله عليه","negative"
"حسبي الله عليهم","negative"
"حسبي الله فيك","negative"
"حسبي الله ونعم وكيل","negative"
"حسبي على","negative"
"حسبي عليك","negative"
"حسبي عليه","negative"
"حومه الكبد","negative"
"حيوانات بشريه","negative"
"خاف ربك","negative"
"خرى عليكم","negative"
"خساره بخسارته","negative"
"خسر السكري","negative"
"خيبه امل","negative"
"دافه التحكيم","negative"
"دبل ضايع","negative"
"دبلت تسبد","negative"
"دفع رباعي","negative"
"دفع سداسي","negative"
"دهور الهلال","negative"
"دوري الصعود","negative"
"راحت علينا","negative"
"راحوا فيها","negative"
"رافع ضغطي","negative"
"رحمه الله","negative"
"ردات الحظ","negative"
"رغم انفك","negative"
"رفع ضغطي","negative"
"ريحتكم فاحت","negative"
"زي الخرفان","negative"
"زيد الصبر عندك","negative"
"سالت دمائهم","negative"
"سكر القصيم","negative"
"سلبت حقوقهم","negative"
"سود الله","negative"
"سود الله وجه التحكيم","negative"
"سي جدا","negative"
"سيئ جدا","negative"
"سيئه جدا","negative"
"شاف نفسه","negative"
"شافوا انفسهم","negative"
"شقيناكم شق","negative"
"صغار الرياض","negative"
"صعبه جدا","negative"
"صغير الرياض","negative"
"صغير جده","negative"
"صياح الخدم","negative"
"ضاق صدري","negative"
"ضجيج مزعج","negative"
"ضد الحكم","negative"
"ضيع فرص","negative"
"ضيع لنا","negative"
"طاح من عيني","negative"
"عدم احترام","negative"
"عدم احتساب","negative"
"عدم العدل","negative"
"عدم اهتمامه","negative"
"عدم تركيز","negative"
"عديم الفايده","negative"
"عذر اقبح من ذنب","negative"
"عقليته ماتتحرك","negative"
"عقولهم صغيره","negative"
"على تبن","negative"
"غاسل يدي","negative"
"غبيه جدا","negative"
"غسلت ايدي","negative"
"غش اهم خلال","negative"
"غياب التركيز","negative"
"غير اخلاقيه","negative"
"غير الشريفه","negative"
"غير شرعي","negative"
"غير شرعيه","negative"
"غير شريف","negative"
"غير شريفه","negative"
"غير صحيحه","negative"
"غير عادل","negative"
"غير عادله","negative"
"غير كفو","negative"
"غير مبرر","negative"
"غير مبرره","negative"
"غير متداخل","negative"
"غير متفائل","negative"
"غير محتسب","negative"
"غير محتسبه","negative"
"غير مستحق","negative"
"غير مستحقه","negative"
"غير معترفبها","negative"
"غير مقنع","negative"
"غير مهمه","negative"
"لايعطيه","negative"
"فريق تحكيم","negative"
"قاتل الله","negative"
"قرصه اذن","negative"
"قلب الوقائع","negative"
"قله حيا","negative"
"قله فهم","negative"
"قليلين الادب","negative"
"كسر خاطري","negative"
"لا تثق","negative"
"لا تحترم هويتنا","negative"
"لا تدخل","negative"
"لا تسلكون","negative"
"لا تشجع","negative"
"لا تظلمون","negative"
"لا تعبروه","negative"
"لا تغتفر","negative"
"لا تغركم","negative"
"لا تفرح","negative"
"لا تليق","negative"
"لا حول ولاقوه","negative"
"لا سيتحق","negative"
"لا لانبطاحيه","negative"
"لا مبالاه","negative"
"لا مستوى","negative"
"لا نستطيع","negative"
"لا وفقك","negative"
"لا يجيد","negative"
"لا يحترم","negative"
"لا يحترمون","negative"
"لا يحتسب","negative"
"لا يحسب","negative"
"لا يحللك","negative"
"لا يحييك","negative"
"لا يخدمون","negative"
"لا يرده","negative"
"لا يساعد","negative"
"لا يسامح","negative"
"لا يسامحك","negative"
"لا يستحقه","negative"
"لا يستحقها","negative"
"لا يستفيد","negative"
"لا يسمون","negative"
"لا يسوا","negative"
"لا يعاقب","negative"
"لا يعمينا","negative"
"لا يفقه","negative"
"لا يناسب","negative"
"لا ينتصر","negative"
"لا ينتصرون","negative"
"لا ينجح","negative"
"لا يواكب","negative"
"لا يوفق","negative"
"لا يوفقك","negative"
"لا يوفقه","negative"
"لا يوفقهم","negative"
"لا يوفقو","negative"
"لا يوقكم","negative"
"لا ييسر","negative"
"لابارك","negative"
"لابارك الله","negative"
"لاحياه","negative"
"لارضا","negative"
"لازم يتغير","negative"
"كيري ميري","negative"
"لسكري القصيم","negative"
"لعن ابوكم","negative"
"لعن الله","negative"
"لعنه الله عليك","negative"
"لقله الادب","negative"
"للدفع الرباعي","negative"
"لم تحتسب","negative"
"لم تحتسب تسلل","negative"
"لم تستحي","negative"
"لم تنجح","negative"
"لم يحترم","negative"
"لم يحترمو","negative"
"لم يحتسب","negative"
"لم يحرك","negative"
"لم يحسبه","negative"
"لم يكن في وضعه","negative"
"لم يكن موفق","negative"
"لم يوفق","negative"
"لن يفيد","negative"
"لن ينجو","negative"
"لو التحكيم عادل","negative"
"لو عندها دم","negative"
"ليس كفؤا","negative"
"ليس من العداله","negative"
"م يتعلم","negative"
"ما احترمت","negative"
"ما احتسب","negative"
"ما افلحو","negative"
"ما الوجه","negative"
"ما انحسب","negative"
"ما تترقع","negative"
"ما تحب","negative"
"ما تحترم","negative"
"ما تحتسب","negative"
"ما تربح","negative"
"ما تسذب","negative"
"ما تشم الدوري","negative"
"ما تشمه","negative"
"ما تفيد","negative"
"ماتوفق","negative"
"ماحبيته","negative"
"ماخليه","negative"
"ماراح ياخذ","negative"
"ماعاد يطمن","negative"
"ماعند جدتي","negative"
"ماعندك احد","negative"
"ماعندها نسانيه","negative"
"مافي احترام","negative"
"مافي داعي للفرح","negative"
"مافي رجال","negative"
"مافيه الصداره","negative"
"مافيه رجال","negative"
"مافيه فايده","negative"
"مافيها رجال","negative"
"ماقدم اي مستوى","negative"
"ماكان فيه رجال","negative"
"مالكم خوي","negative"
"ماله طعم","negative"
"مالهم خاتمه","negative"
"مالي خلق","negative"
"مانبيها","negative"
"مانفع","negative"
"مانفوز","negative"
"ماهم كفو","negative"
"ماهو كفو","negative"
"ماهي ليلتك","negative"
"مايبي","negative"
"مايجلدهم","negative"
"مايجمل","negative"
"مايحب","negative"
"مايحتسب","negative"
"مايحشمون","negative"
"مايحمس","negative"
"مايخفون الله","negative"
"مايرحم","negative"
"مايستاهل","negative"
"مايستحق","negative"
"مايستحون","negative"
"مايسرني","negative"
"مايشرف","negative"
"مايصحش الهياط","negative"
"مايضحكني","negative"
"مايعجب لاعدو ولاحبيب","negative"
"مايعرف","negative"
"مايفتخر","negative"
"مايفرح","negative"
"مايفوز","negative"
"مايمشي","negative"
"مب ناجح","negative"
"مباراه تحكيم","negative"
"مافاز","negative"
"مافرحت","negative"
"ماقدم","negative"
"مثل عدمه","negative"
"مثير للشفقه","negative"
"مثيره للشفقه","negative"
"محرق رزك","negative"
"مساعده الحكام","negative"
"مسح فيهم","negative"
"مش محظوظ","negative"
"مش ولابد","negative"
"مصخر مسخره","negative"
"مغمض عيونه","negative"
"مقصوصا جناحاه","negative"
"من جنبها","negative"
"مو بخير","negative"
"مو حب","negative"
"مو شايفه خير","negative"
"مو صحيح","negative"
"مو قد","negative"
"مو قد انو يلعب","negative"
"مو كفو","negative"
"مو محسوب","negative"
"مو واقف عليك","negative"
"مو يومك","negative"
"موب بيومه","negative"
"موب مركزه","negative"
"نادي الحكومه","negative"
"نادي تحكيم","negative"
"نادي حكومه","negative"
"نازل مرا","negative"
"نرتاح منهم","negative"
"نسخ الخيال","negative"
"نفش ريشه","negative"
"نفشه ريشه","negative"
"نهايط عالزعيق","negative"
"هاردلك","negative"
"هاردلكم","negative"
"هدر مال","negative"
"هدف تسلل","negative"
"هذا اللي فالحين فيه","negative"
"وجه البومه","negative"
"وجه الردى","negative"
"وجه النحس","negative"
"ولا تسوى","negative"
"ولا ينفع","negative"
"ي اجير","negative"
"يا حارقهم","negative"
"يا خساره","negative"
"يا بارد","negative"
"يا بس","negative"
"يا حرام","negative"
"يا حسرتي","negative"
"يا حفاظه","negative"
"يا حنفوش","negative"
"يا حوش","negative"
"يا حوش محلي","negative"
"يا خبيلان","negative"
"يا خذ عمرك","negative"
"يا خذك","negative"
"يا خوفي","negative"
"يا رب اصابه","negative"
"يا زعيق","negative"
"يا زعيقي","negative"
"يا زفت","negative"
"يا زين","negative"
"يا سباك","negative"
"يا صيا ح","negative"
"يا طحالبي","negative"
"يا طحلب","negative"
"يا طحلبي","negative"
"يا طحلوبي","negative"
"يا طلحوبي","negative"
"يا طواقي","negative"
"يا ظالم","negative"
"يا عاهه","negative"
"يا عقيم","negative"
"يا غشيم","negative"
"يا فاشل","negative"
"يا فقر","negative"
"يا فقراوي","negative"
"يا فقراويه","negative"
"يا كسر","negative"
"يا كلاب","negative"
"يا كلب","negative"
"يا لبدوي","negative"
"يا لبكايه","negative"
"يا لحنفوش","negative"
"يا لخدم","negative"
"يا لدفع الرباعي","negative"
"يا لدلال","negative"
"يا لسباك","negative"
"يا لسرق","negative"
"يا لضبان","negative"
"يا لطحالب","negative"
"يا لعبيد","negative"
"يا لفاشل","negative"
"يا لفقراوي","negative"
"يا لفقراويه","negative"
"يا لفقراويين","negative"
"يا لمسيا ري","negative"
"يا لوسخ","negative"
"يا متخلف","negative"
"يا مدرعم","negative"
"يا مروح","negative"
"يا مسخره","negative"
"يا نجسه","negative"
"يا نعال","negative"
"يا واطي","negative"
"يا ورع","negative"
"يا وسخ","negative"
"يا وصخ","negative"
"يا وضيع","negative"
"يتشدق بالاخطا","negative"
"يجيب العيد","negative"
"يجيه ضغط","negative"
"يحزن اكثر","negative"
"يدربي راسه","negative"
"يرحم ايامك","negative"
"يريحنا منه","negative"
"يستاهلون ضرب","negative"
"يشفشف الارض","negative"
"يعلمهم الادب","negative"
"يقلب المواجع","negative"
"يمال الكسر","negative"
"ابوكلب","negative"
"ابوكلبي","negative"
"اعوذ بالله","negative"
"غزو فكري","negative"
"الله يحرقكم","negative"
"الله يحرقها","negative"
"الله يصبرني","negative"
"الله يغرق","negative"
"الله يلعنكم","negative"
"بلاخدمه","negative"
"حسبنا لله","negative"
"حسبنى الله","negative"
"حسبونا الله","negative"
"حسبي عليكم","negative"
"حسيبك الله","negative"
"غير عادله","negative"
"غير نشيطه","negative"
"لاتتجاوب","negative"
"لاتتعب","negative"
"لاتجرحون","negative"
"لاتدعم","negative"
"لاتذكر","negative"
"لاترقى","negative"
"لاترى","negative"
"لاتستحق","negative"
"لاتستغلون","negative"
"لاتسرقونا","negative"
"لاتسمع","negative"
"لاتشفطون","negative"
"لاتمثل","negative"
"لاتمثلنا","negative"
"لاتناسب","negative"
"لاتوفق","negative"
"لاجديد","negative"
"لاحسيب","negative"
"لارقيب","negative"
"لاقيم","negative"
"لامخازي","negative"
"لانرى","negative"
"لاوفقهم","negative"
"لايبارك","negative"
"لايبيحكم","negative"
"لايجوز","negative"
"لايحللكم","negative"
"لايحللهم","negative"
"لايربحهم","negative"
"لايرزقهم","negative"
"لايسامحكم","negative"
"لا يسامحهم","negative"
"لايعجزونك","negative"
"لايوفقكم","negative"
"لايوفقهم","negative"
"ماسحبوا","negative"
"من زين","negative"
"منك لله","negative"
"منكم لله","negative"
"مو راضي","negative"
"م يحلونها","negative"
"م ينوثق","negative"
"ولاحرج","negative"
"ولاحلل","negative"
"ولافيه","negative"
"ولاهمهم","negative"
"ولايسامحكم","negative"
"ياحراميه","negative"
"ياتسلاب","negative"
"يارخيص","negative"
"ياطبول","negative"
"يالبون","negative"
"يخرب بيتكو","negative"
"يخرب بيت","negative"
"يرفعو الضغط","negative"
"مرعب الحراس","negative"
"منكوب اخر","negative"
"مصائب","negative"
"اباحه","negative"
"اباحي","negative"
"اباحيه","negative"
"ابتلا","negative"
"ابتلاات","negative"
"ابتلاكم","negative"
"ابتلينا","negative"
"ابثرتونا","negative"
"ابثروا","negative"
"ابلشت","negative"
"ابلشتونا","negative"
"اتعجب","negative"
"اتعس","negative"
"اتفل","negative"
"اتفه","negative"
"اتقروش","negative"
"يخيب","negative"
"اتهامهم","negative"
"اثامهم","negative"
"اثقلت","negative"
"اجبرتهم","negative"
"اجرام","negative"
"احباط","negative"
"احتقارنا","negative"
"احتكار","negative"
"احتلال","negative"
"احذر","negative"
"احذروا","negative"
"احسدكم","negative"
"احسن","negative"
"احقر","negative"
"احلموا","negative"
"احمق","negative"
"اخاف","negative"
"اختفت","negative"
"اختفى","negative"
"اختلاط","negative"
"اختلافه","negative"
"اختلت","negative"
"اخجل","negative"
"اخراس","negative"
"اخرسوا","negative"
"اخزاهم","negative"
"اخشى","negative"
"اخطا","negative"
"اخطائكم","negative"
"اخطار","negative"
"اخطر","negative"
"اخفا","negative"
"اخلا","negative"
"ادج","negative"
"ادشر","negative"
"ادهى","negative"
"اذاكم","negative"
"اذنابهم","negative"
"اذيه","negative"
"اراهن","negative"
"ارتفاع","negative"
"ارتفع","negative"
"ارتفعت","negative"
"ارتقوا","negative"
"ارحم","negative"
"ارحموا","negative"
"ارحمو","negative"
"ارحمونا","negative"
"ارفض","negative"
"ارفضها","negative"
"ارفظها","negative"
"ارهاب","negative"
"ارهابي","negative"
"ارهابيين","negative"
"ازحمه","negative"
"ازدحام","negative"
"ازعاج","negative"
"ازعاجها","negative"
"ازعجتمونا","negative"
"ازعجتونا","negative"
"ازعجنا","negative"
"ازعجونا","negative"
"ازفت","negative"
"ازماتنا","negative"
"ازمتكم","negative"
"ازمه","negative"
"ازدواجيه","negative"
"اساطير","negative"
"استبداد","negative"
"استحيا","negative"
"استخراج","negative"
"استخفاف","negative"
"استرح","negative"
"استشرافكم","negative"
"استعبدوهم","negative"
"استغرب","negative"
"استغلال","negative"
"استفزاز","negative"
"استفزازات","negative"
"استفزازنا","negative"
"استقيلوا","negative"
"استلعان","negative"
"استنزاف","negative"
"استهتار","negative"
"استهجن","negative"
"استهداف","negative"
"استهلكت","negative"
"استيا","negative"
"استيلا","negative"
"اسحبوا","negative"
"اسراف","negative"
"اسرى","negative"
"اسوا","negative"
"اشاعات","negative"
"اشاعاتهم","negative"
"اشاعه","negative"
"اشرس","negative"
"اشغلتوا","negative"
"اشغلتونا","negative"
"اشغلتوني","negative"
"اشغلونا","negative"
"اشفط","negative"
"اشفق","negative"
"اشق","negative"
"اشك","negative"
"اصابه","negative"
"اصعب","negative"
"اصمت","negative"
"اصيح","negative"
"اضرار","negative"
"اضرر","negative"
"اضطر","negative"
"اطلقت","negative"
"اعارض","negative"
"اعتذر","negative"
"اعترض","negative"
"أعداا","negative"
"اعفوا","negative"
"اعقبوا","negative"
"اعوذ","negative"
"اغبيا","negative"
"اغتصاب","negative"
"اغتصبو","negative"
"اغرق","negative"
"اغرقت","negative"
"اغرقنا","negative"
"اغلاق","negative"
"اغلقت","negative"
"اف","negative"
"افا","negative"
"خيانه","negative"
"افساد","negative"
"افسادهن","negative"
"افسد","negative"
"افسدت","negative"
"افشل","negative"
"اقاله","negative"
"اقبح","negative"
"اقذاره","negative"
"اقرفتونا","negative"
"اقل","negative"
"اقلعهم","negative"
"اقيل","negative"
"اكذب","negative"
"اكره","negative"
"اكرهه","negative"
"اكلب","negative"
"الاباحيه","negative"
"الاتشرف","negative"
"الاثام","negative"
"الاثم","negative"
"الاثمه","negative"
"الاحباط","negative"
"الاحتجاج","negative"
"الاحتلال","negative"
"الاحمق","negative"
"الاختلاط","negative"
"الاختلاف","negative"
"الاخلاا","negative"
"الاذناب","negative"
"الارجاف","negative"
"الارهاب","negative"
"الارهابي","negative"
"الازمات","negative"
"الازمه","negative"
"الاستشراف","negative"
"الاستغلال","negative"
"الاستنزاف","negative"
"الاستنفار","negative"
"الاستهبالات","negative"
"الاستهتار","negative"
"الاستهزا","negative"
"الاستهزات","negative"
"الاستيلا","negative"
"الاسراف","negative"
"الاسقاطات","negative"
"الاسوا","negative"
"الاسود","negative"
"الاشاعات","negative"
"الاشاعه","negative"
"الاضرار","negative"
"الاضعف","negative"
"الاعتراض","negative"
"الاعدا","negative"
"الاعدام","negative"
"الاعظم","negative"
"الاغبيا","negative"
"الافساد","negative"
"الافضل","negative"
"الاقتحام","negative"
"الاقنعه","negative"
"الاكتئاب","negative"
"الالم","negative"
"الامبالاه","negative"
"الامتناع","negative"
"الانتحار","negative"
