"V1","V2"
"اثقلت","negative"
"اجبرتهم","negative"
"اجرام","negative"
"احباط","negative"
"احتقارنا","negative"
"احتكار","negative"
"احتلال","negative"
"احذر","negative"
"احذروا","negative"
"احسدكم","negative"
"احسن","negative"
"احقر","negative"
"احلموا","negative"
"احمق","negative"
"اخاف","negative"
"اختفت","negative"
"اختفى","negative"
"اختلاط","negative"
"اختلافه","negative"
"اختلت","negative"
"اخجل","negative"
"اخراس","negative"
"اخرسوا","negative"
"اخزاهم","negative"
"اخشى","negative"
"اخطا","negative"
"اخطائكم","negative"
"اخطار","negative"
"اخطر","negative"
"اخفا","negative"
"اخلا","negative"
"ادج","negative"
"ادشر","negative"
"ادهى","negative"
"اذاكم","negative"
"اذنابهم","negative"
"اذيه","negative"
"اراهن","negative"
"ارتفاع","negative"
"ارتفع","negative"
"ارتفعت","negative"
"ارتقوا","negative"
"ارحم","negative"
"ارحموا","negative"
"ارحمو","negative"
"ارحمونا","negative"
"ارفض","negative"
"ارفضها","negative"
"ارفظها","negative"
"ارهاب","negative"
"ارهابي","negative"
"ارهابيين","negative"
"ازحمه","negative"
"ازدحام","negative"
"ازعاج","negative"
"ازعاجها","negative"
"ازعجتمونا","negative"
"ازعجتونا","negative"
"ازعجنا","negative"
"ازعجونا","negative"
"ازفت","negative"
"ازماتنا","negative"
"ازمتكم","negative"
"ازمه","negative"
"اساطير","negative"
"استبداد","negative"
"استحيا","negative"
"استخراج","negative"
"استخفاف","negative"
"استرح","negative"
"استشرافكم","negative"
"استعبدوهم","negative"
"استغرب","negative"
"استغلال","negative"
"استفزاز","negative"
"استفزازات","negative"
"استفزازنا","negative"
"استقيلوا",""
"استلعان","negative"
"استنزاف",""
"استهتار","negative"
"استهجن","negative"
"استهداف","negative"
"استهلكت","negative"
"استيا","negative"
"استيلا","negative"
"اسحبوا","negative"
"اسراف","negative"
"اسرى","negative"
"اسوا","negative"
"اشاعات","negative"
"اشاعاتهم","negative"
"اشاعه","negative"
"اشرس",""
"اشغلتوا","negative"
"اشغلتونا","negative"
"اشغلتوني","negative"
"اشغلونا","negative"
"اشفط","negative"
"اشفق","negative"
"اشق","negative"
"اشك","negative"
"اصابه","negative"
"اصعب","negative"
"اصمت","negative"
"اصيح","negative"
"اضرار","negative"
"اضرر","negative"
"اضطر","negative"
"اطلقت","negative"
"اعارض","negative"
"اعتذر","negative"
"اعترض","negative"
"أعداا","negative"
"اعفوا","negative"
"اعقبوا","negative"
"اعوذ","negative"
"اغبيا","negative"
"اغتصاب","negative"
"اغتصبو","negative"
"اغرق","negative"
"اغرقت","negative"
"اغرقنا","negative"
"اغلاق","negative"
"اغلقت","negative"
"اف","negative"
"افا","negative"
"خيانه",""
"افساد","negative"
"افسادهن","negative"
"افسد","negative"
"افسدت","negative"
"افشل","negative"
"اقاله","negative"
"اقبح","negative"
"اقرفتونا","negative"
"اقل","negative"
"اقلعهم","negative"
"اقيل","negative"
"اكذب","negative"
"اكره","negative"
"اكرهه",""
"اكلب","negative"
"الاباحيه","negative"
"الاتشرف","negative"
"الاثام","negative"
"الاثم","negative"
"الاثمه","negative"
"الاحباط","negative"
"الاحتجاج","negative"
"الاحتلال","negative"
"الاحمق","negative"
"الاختلاط","negative"
"الاختلاف","negative"
"الاخلاا","negative"
"الاذناب","negative"
"الارجاف","negative"
"الارهاب","negative"
"الارهابي","negative"
"الازمات","negative"
"الازمه","negative"
"الاستشراف","negative"
"الاستغلال","negative"
"الاستنزاف","negative"
"الاستنفار","negative"
"الاستهبالات","negative"
"الاستهتار","negative"
"الاستهزا","negative"
"الاستهزات","negative"
"الاستيلا","negative"
"الاسراف","negative"
"الاسقاطات","negative"
"الاسوا","negative"
"الاسود","negative"
"الاشاعات","negative"
"الاشاعه","negative"
"الاضرار","negative"
"الاضعف","negative"
"الاعتراض","negative"
"الاعدا","negative"
"الاعدام","negative"
"الاعظم","negative"
"الاغبيا","negative"
"الافساد","negative"
"الافضل","negative"
"الاقتحام","negative"
"الاقنعه","negative"
"الاكتئاب","negative"
"الالم","negative"
"الامبالاه","negative"
"الامتناع","negative"
"الانتحار","negative"
"الانتقاد","negative"
"الانتكاس","negative"
"الانحدار","negative"
"الانحراف","negative"
"الانحطاط","negative"
"الانذار","negative"
"الانسلاخ","negative"
"الانفصام","negative"
"الانكار","negative"
"الانهزاميه","negative"
"الاهمال","negative"
"الباطل","negative"
"البايخه","negative"
"البذخ","negative"
"البطاله","negative"
"البعر","negative"
"البقره","negative"
"البلا","negative"
"البلاوي","negative"
"البلبله","negative"
"التافه","negative"
"التافهه","negative"
"التافهين","negative"
"التبذير","negative"
"التبرج","negative"
"التبلد","negative"
"التحرش","negative"
"التحلطم","negative"
"التخبط","negative"
"التخلف","negative"
"التخمه","negative"
"التدليس","negative"
"التذمر","negative"
"الترف","negative"
"التسذاب","negative"
"التشويش","negative"
"التضارب","negative"
"التضرر","negative"
"التضييق","negative"
"التطبيل","negative"
"التطبيليه","negative"
"التطرف","negative"
"التطنيش","negative"
"التعاسه","negative"
"التعري","negative"
"التعيسه","negative"
"التغريب","negative"
"التغريبيه","negative"
"التفاهات","negative"
"التفاهه","negative"
"التفجيرات","negative"
"التفريق","negative"
"التفصخ","negative"
"التفهات","negative"
"التقديس","negative"
"التقشف","negative"
"التقصير","negative"
"التكذيب","negative"
"التلاعب","negative"
"التنازل","negative"
"التناقضات","negative"
"التنصيري","negative"
"التنظير","negative"
"التنك","negative"
"التهافت","negative"
"الثبور","negative"
"الثقيل","negative"
"الجحلط","negative"
"الجحيم","negative"
"الجدال","negative"
"الجدل","negative"
"الجرم","negative"
"الجريمه","negative"
"الجشع","negative"
"الجشعون","negative"
"الجشعين","negative"
"الجنس","negative"
"الجهل","negative"
"الجهلا","negative"
"الجهله","negative"
"الجوع","negative"
"الحاقدين","negative"
"الحثاله","negative"
"الحجريه","negative"
"الحذر","negative"
"الحرام","negative"
"الحرامي","negative"
"الحراميه","negative"
"الحرب","negative"
"الحروب","negative"
"الحسد","negative"
"الحسرات","negative"
"الحسره","negative"
"الحشرات","negative"
"الحشريه","negative"
"الحقير","negative"
"الحمقى","negative"
"الحوثيين","negative"
"الحيوانات","negative"
"الحيوانيه","negative"
"الخائنون","negative"
"الخاطئ","negative"
"الخاويه","negative"
"الخايس","negative"
"الخايسه","negative"
"الخبائث","negative"
"الخبث","negative"
"الخبثا","negative"
"الخبيثه","negative"
"الخذلان","negative"
"الخراب","negative"
"الخرابيط","negative"
"الخروف","negative"
"الخرى","negative"
"الخسائر","negative"
"الخسران","negative"
"الخصومه","negative"
"الخطا","negative"
"الخطر","negative"
"الخف","negative"
"الخلا","negative"
"الخلل","negative"
"الخمر","negative"
"الخمه","negative"
"الخنبقه","negative"
"الخنز","negative"
"الخوارج","negative"
"الخواف","negative"
"الخوف","negative"
"الخونه","negative"
"الخيانه","negative"
"الخير","negative"
"الدشيره","negative"
"الدعاره","negative"
"الدلع","negative"
"الدلوخ","negative"
"الدلوعين","negative"
"الدمار","negative"
"الدنيا","negative"
"الدواعش","negative"
"الدين","negative"
"الديوثيين","negative"
"الديون","negative"
"الذبان","negative"
"الذل","negative"
"الذنب","negative"
"الذنوب","negative"
"الربا","negative"
"الرجعيه","negative"
"الرخو","negative"
"الرخيصات","negative"
"الرخيصه","negative"
"الردي","negative"
"الرذائل","negative"
"الرذيله","negative"
"الرعاع","negative"
"الرفض","negative"
"الرهبه","negative"
"الروافض","negative"
"الرويبضه","negative"
"الزباله","negative"
"الزحام","negative"
"الزحمه","negative"
"الزفت","negative"
"الزق","negative"
"الزلازل","negative"
"الزله","negative"
"الزنا","negative"
"الزيف","negative"
"الساخطين","negative"
"الساذجه","negative"
"السافله","negative"
"الساقطات","negative"
"الساقطه","negative"
"السباكه","negative"
"السبايك","negative"
"السخافات","negative"
"السخريه","negative"
"السخطه","negative"
"السخيفه","negative"
"السذاجه","negative"
"السرقات","negative"
"السرقه","negative"
"السطحيات","negative"
"السفور","negative"
"السقوط","negative"
"السلاتيح","negative"
"السلبيه","negative"
"السلنتح","negative"
"السلول","negative"
"السلولي","negative"
"السملقي","negative"
"السيئه","negative"
"الشاذه","negative"
"الشاذين","negative"
"الشامت","negative"
"الشده","negative"
"الشديد","negative"
"الشر","negative"
"الشرهه","negative"
"الشقا","negative"
"الشقى","negative"
"الشنيعه","negative"
"الشواذ","negative"
"الشيطان","negative"
"الشين","negative"
"الصحاينه","negative"
"الصحيوني","negative"
"الصداع","negative"
"الصراخ","negative"
"الصراع","negative"
"الصلبيه","negative"
"الصليبي","negative"
"الصهبا","negative"
"الصهيوني","negative"
"الضار","negative"
"الضحيه","negative"
"الضرر","negative"
"الضعف","negative"
"الضعفا","negative"
"الضعوف","negative"
"الضعيف","negative"
"الضغط","negative"
"الضلاله","negative"
"الضياع","negative"
"الضيقه","negative"
"الطامعين","negative"
"الطبول","negative"
"الطرش","negative"
"الطعنات","negative"
"الطغاه","negative"
"الطقوعين","negative"
"الطمع","negative"
"الظالم","negative"
"الظالمين","negative"
"الظلام","negative"
"الظلم","negative"
"العابثين","negative"
"العاجزين","negative"
"العار","negative"
"العاريات","negative"
"العاريه","negative"
"العاطلين","negative"
"العاهرات","negative"
"العاهره","negative"
"العبث","negative"
"العبره","negative"
"العبيد","negative"
"العجاف","negative"
"العجز","negative"
"العدو","negative"
"العذاب","negative"
"العذاريب","negative"
"العصبيه","negative"
"العصيب","negative"
"العفن","negative"
"العفنه","negative"
"العقاب","negative"
"العقايب","negative"
"العقوبات","negative"
"العقوبه","negative"
"العقيم","negative"
"العهر","negative"
"العياذ","negative"
"الغا","negative"
"الغافلون","negative"
"الغبا","negative"
"الغبنه","negative"
"الغبي","negative"
"الغثيث","negative"
"الغرائب","negative"
"الغرق","negative"
"الغريب","negative"
"الغريبه","negative"
"الغزو","negative"
"الغش","negative"
"الغفله","negative"
"الغلا","negative"
"الغلبان","negative"
"الغلطانين","negative"
"الغلو","negative"
"الفاحش","negative"
"الفاحشه","negative"
"الفارغه","negative"
"الفاسد","negative"
"الفاسده","negative"
"الفاسدين","negative"
"الفاشل","negative"
"الفاشلين","negative"
"الفاضي","negative"
"الفاغر","negative"
"الفتن","negative"
"الفتنه","negative"
"الفجار","negative"
"الفحش","negative"
"الفحشا","negative"
"الفرقه","negative"
"الفساد","negative"
"الفسق","negative"
"الفسقه","negative"
"الفشل","negative"
"الفضايح","negative"
"الفقر","negative"
"الفقرا","negative"
"الفقير","negative"
"الفواحش","negative"
"الفوضوي","negative"
"الفوضى","negative"
"القاتل","negative"
"القبح","negative"
"القبيحه","negative"
"القديمه","negative"
"القذاره","negative"
"القذر","negative"
"القذره","negative"
"القذف","negative"
"القرف","negative"
"القهر","negative"
"القيامه","negative"
"الكابه","negative"
"الكادحه","negative"
"الكاذبه","negative"
"الكاذبين","negative"
"الكارثه","negative"
"الكارثي","negative"
"الكافرين","negative"
"الكذابه","negative"
"الكذابين","negative"
"الكذب","negative"
"الكذبه","negative"
"الكسل","negative"
"الكسلان","negative"
"الكفره","negative"
"الكلاب","negative"
"الكلب","negative"
"الكهنه","negative"
"الكوارث","negative"
"اللئيمه","negative"
"اللحج","negative"
"اللصوص","negative"
"اللعب","negative"
"اللعنه","negative"
"اللقافه","negative"
"المؤسف","negative"
"الماحي","negative"
"الماساه","negative"
"الماساوي","negative"
"المايع","negative"
"المتبجحه","negative"
"المتحكم","negative"
"المتخلف","negative"
"المتذمره","negative"
"المتذمرين","negative"
"المتسببين","negative"
"المتشائمين","negative"
"المتضرر","negative"
"المتضررين","negative"
"المتظرر","negative"
"المتعصب","negative"
"المتكدسين","negative"
"المجاملات","negative"
"المجاهره",""
"المجحف","negative"
"المجهول","negative"
"المجون","negative"
"المحرم","negative"
"المحرمات","negative"
"المحرمه","negative"
"المحن","negative"
"المخاطر","negative"
"المخالفات","negative"
"المخجل","negative"
"المخدرات","negative"
"المخربين","negative"
"المخيس","negative"
"المخيسه","negative"
"المخيف","negative"
"المرجفين","negative"
"المرض","negative"
"المرير","negative"
"المريضه","negative"
"المزيف","negative"
"المزيفه","negative"
"المساكين","negative"
"المستشرف","negative"
"المستشرفين","negative"
"المستضعفين","negative"
"المستعبد","negative"
"المستغرب","negative"
"المستغلين","negative"
"المستهتر","negative"
"المستهتره","negative"
"المسحوق","negative"
"المسعوره","negative"
"المسكين","negative"
"المشاجرات","negative"
"المشافيح","negative"
"المشاكل","negative"
"المشفوحات","negative"
"المشكله","negative"
"المشين","negative"
"المصخره","negative"
"المصديه","negative"
"المصيبه","negative"
"المضلل","negative"
"المطبلي","negative"
"المطبلين","negative"
"المظاهر","negative"
"المعادين","negative"
"المعارك","negative"
"المعاصي","negative"
"المعاناه","negative"
"المعتوهين","negative"
"المعصيه","negative"
"المعفن","negative"
"المعفنات","negative"
"المعفنه","negative"
"المعقد","negative"
"المعيب","negative"
"المغبون","negative"
"المغتصب","negative"
"المغرضين","negative"
"المغلوب","negative"
"المفاسد","negative"
"المفتري","negative"
"المفسدون","negative"
"المفسدين","negative"
"المقالب","negative"
"المقحبه","negative"
"المقصر","negative"
"المقصرين","negative"
"المكذوب","negative"
"المكروبين","negative"
"المكروف","negative"
"الملعون","negative"
"الملهاه","negative"
"الملهيات","negative"
"المميت","negative"
"المنافق","negative"
"المنافقون","negative"
"المنافقين","negative"
"المنتقدين","negative"
"المنحل","negative"
"المنحله","negative"
"المنحوسين","negative"
"المنكر","negative"
"المنكرات","negative"
"المهايط","negative"
"المهبل","negative"
"المهروسه","negative"
"المهزله","negative"
"المهزوم","negative"
"المهمومين","negative"
"الموبقات","negative"
"الموت","negative"
"الميت","negative"
"النابحات","negative"
"النابحين","negative"
"الناعق","negative"
"الناهبين","negative"
"النباح","negative"
"النجس","negative"
"النجسه","negative"
"النحس","negative"
"النذاله","negative"
"النصب","negative"
"النفي","negative"
"النكبات","negative"
"النكبه","negative"
"النكرات","negative"
"النهب","negative"
"النهش","negative"
"الهابطه","negative"
"الهاويه","negative"
"الهايفه","negative"
"الهجوم","negative"
"الهدامه","negative"
"الهدر","negative"
"الهرج","negative"
"الهروب","negative"
"الهزيمه","negative"
"الهما","negative"
"الهمج","negative"
"الهمجي","negative"
"الهمجيه","negative"
"الهياط","negative"
"الوبا","negative"
"الوسخ","negative"
"الوصخه","negative"
"الوضيع","negative"
"الوهمي","negative"
"الياس","negative"
"اليم","negative"
"امحق","negative"
"امرضتونا","negative"
"اموت","negative"
"اميتوا","negative"
"انتحال","negative"
"انتحر","negative"
"انتقد","negative"
"انتكاسه","negative"
"انتهاك","negative"
"انتهت","negative"
"انثبر","negative"
"انثبرو","negative"
"انثبروا","negative"
"انجاس","negative"
"انجس","negative"
"انحطاط","negative"
"انخفاض","negative"
"انخقنا","negative"
"انخمد","negative"
"انخنقنا","negative"
"اندفاعي","negative"
"انذار","negative"
"انذل","negative"
"انسوا","negative"
"انسى","negative"
"انطقوا","negative"
"انطم","negative"
"انعدام","negative"
"انعدمت","negative"
"انفثي","negative"
"انقلع","negative"
"انقلعو","negative"
"انقلعوا","negative"
"انقهر","negative"
"انكار","negative"
"اه","negative"
"اهانتها","negative"
"اهب","negative"
"اهبوا","negative"
"اهدار","negative"
"اهربوا","negative"
"اهمال","negative"
"اهمالهم","negative"
"اهين","negative"
"تتعرى","negative"
"اوصيا","negative"
"اوكار","negative"
"بؤسا","negative"
"بئس","negative"
"بائس","negative"
"بائسه","negative"
"بايخه","negative"
"بارات","negative"
"بارد","negative"
"باطل","negative"
"باعت","negative"
"بايخ","negative"
"تجريم","negative"
"تفاهات","negative"
"تندمون","negative"
"جهل","negative"
"خسر","negative"
"خطر","negative"
"بخيل","negative"
"بدعا","negative"
"بربسه","negative"
"رفض","negative"
"رفع","negative"
"برمائيات","negative"
"برمائيه","negative"
"برمائيين","negative"
"بزران","negative"
"بزرنجي","negative"
"سطحيه","negative"
"بشاعه","negative"
"بشع","negative"
"بشعا","negative"
"بصق","negative"
"بطاريق","negative"
"بطلوا","negative"
"بطلوها","negative"
"بطيئه","negative"
"بغيضكم","negative"
"بغيظكم","negative"
"بفجر","negative"
"بقر","negative"
"بكائيات","negative"
"بكفره","negative"
"بلاغات","negative"
"بلاوي","negative"
"بلبله","negative"
"بلها","negative"
"بليتي","negative"
"بليد","negative"
"بليدين","negative"
"متبرجه","negative"
"بنزع","negative"
"نغرق","negative"
"نموت","negative"
"بهائم","negative"
"بياخه","negative"
"يخافون","negative"
"يخربون","negative"
"يدبلون","negative"
"يرتفع","negative"
"يرفع","negative"
"يرفعون","negative"
"يستغلون","negative"
"يغرق","negative"
"يفسد","negative"
"تاجج","negative"
"تاجيج","negative"
"تافه","negative"
"تافهه","negative"
"تافهين","negative"
"تاليب","negative"
"تبا","negative"
"تباد","negative"
"تبالكم","negative"
"تبرج","negative"
"تبرجت","negative"
"تبرى","negative"
"تبطون","negative"
"تبطي","negative"
"تبكي","negative"
"تبن","negative"
"تبون","negative"
"تتاجر","negative"
"تتاخرون","negative"
"تتجاهل","negative"
"تتحطم","negative"
"تتحقق","negative"
"تتحلطم","negative"
"تتخبط","negative"
"تتسرب","negative"
"تتشرد","negative"
"تتعالجون","negative"
"تتعب","negative"
"تتفاقم","negative"
"تتفلسفون","negative"
"تتكالب","negative"
"تتهاوشون","negative"
"تجاهر","negative"
"تجاهلنا","negative"
"تجاوزت","negative"
"تجتاح","negative"
"تجر","negative"
"تجردت","negative"
"تجرف","negative"
"تجلط","negative"
"تجلطوهم","negative"
"تجنب","negative"
"تحارب","negative"
"تحاربوا","negative"
"تحاصر","negative"
"تحالفوا","negative"
"تحايل","negative"
"تحترق","negative"
"تحذر","negative"
"تحذير","negative"
"تحذيرات","negative"
"تحرق","negative"
"تحرقوا","negative"
"تحزبه","negative"
"تحزن","negative"
"تحشرون","negative"
"تحقير","negative"
"تحيز","negative"
"تخاطر","negative"
"تخالف","negative"
"تخبط","negative"
"تخبطات","negative"
"تخبيص","negative"
"تختفي","negative"
"تخدعكم","negative"
"تخرب","negative"
"تخرج","negative"
"تخسون","negative"
"تخسى","negative"
"تخسي","negative"
"تخسين","negative"
"تخفس","negative"
"تخلف","negative"
"تخلفنا","negative"
"تخلفها","negative"
"تخوف","negative"
"تدعسون","negative"
"تدلعوا","negative"
"تدلعونهم","negative"
"تدليس","negative"
"تدمر","negative"
"تدمير","negative"
"تدنسون","negative"
"تدنسوها","negative"
"تدهور","negative"
"تذمر","negative"
"تراب","negative"
"تراجع","negative"
"ترزز","negative"
"ترفا","negative"
"ترفض","negative"
"ترك","negative"
"تركوا","negative"
"ترهات","negative"
"تروع","negative"
"تزيل","negative"
"تسئ","negative"
"تسب","negative"
"تستاهل","negative"
"تستحق","negative"
"تستغل","negative"
"تستفز","negative"
"تستلعن","negative"
"تسذب","negative"
"تسذوبين","negative"
"تسرب","negative"
"تسكر","negative"
"تسليك","negative"
"تسليكاتها","negative"
"تسليكيه","negative"
"تشبع","negative"
"تشتموا","negative"
"تشحذونها","negative"
"تشمتكم","negative"
"تشمون","negative"
"تشمونها","negative"
"تشويه","negative"
"تصرف","negative"
"تضجروا","negative"
"تضحكوا","negative"
"تضر","negative"
"تضرر","negative"
"تضررت","negative"
"تضطر","negative"
"تضيق","negative"
"تطبل","negative"
"تطبيل","negative"
"تطرف","negative"
"تطقطقون","negative"
"تطيح","negative"
"تعاقب","negative"
"تعب","negative"
