"V1","V2"
"اروع","positive"
"ازين","positive"
"استانست","positive"
"استانسوا","positive"
"استعجال","positive"
"استفدنا","positive"
"استقرار","positive"
"اسرع","positive"
"اسعد","positive"
"اسعدكم","positive"
"اسعدني","positive"
"اشكر","positive"
"اشكرك","positive"
"اشكروه","positive"
"اصلح","positive"
"اصلحهم","positive"
"اطلق","positive"
"اطمئنوا","positive"
"اعتز","positive"
"اعجبتني","positive"
"اعزها","positive"
"اعظم","positive"
"اعقل","positive"
"اعنه","positive"
"اعنهم","positive"
"اغلا","positive"
"افخر","positive"
"افراح","positive"
"افرحت","positive"
"افرحوا","positive"
"افضل","positive"
"اقدح","positive"
"اكرمتنا","positive"
"الابداع","positive"
"الابطال","positive"
"الاجمل","positive"
"الإخلاص","positive"
"الارخص","positive"
"الاستقرار","positive"
"الاستمتاع","positive"
"الاصيل","positive"
"الاعجاب","positive"
"الافضل","positive"
"الاقويا","positive"
"الامان","positive"
"الامانه","positive"
"الامل","positive"
"الامن","positive"
"الاولى","positive"
"الايجابي","positive"
"الايجابيه","positive"
"البركه","positive"
"البطل","positive"
"الترفيه","positive"
"التقدم","positive"
"التكريم","positive"
"التواضع","positive"
"التوفيق","positive"
"الثنا","positive"
"الجمال","positive"
"الجميل","positive"
"الجميله","positive"
"الحب","positive"
"الحزم","positive"
"الحسنه","positive"
"الحكمه","positive"
"الحلو","positive"
"الحلول","positive"
"الحلوه","positive"
"الحمد","positive"
"الحمدلله","positive"
"الخنفشاري","positive"
"الخير","positive"
"الخيره","positive"
"الدلال","positive"
"الرائعه","positive"
"الرابح","positive"
"الرخا","positive"
"الرضى","positive"
"الزين","positive"
"الزينه","positive"
"السداد","positive"
"السعاده","positive"
"السعيد","positive"
"السماح","positive"
"الشجاع","positive"
"الشكر","positive"
"الشهامه","positive"
"الشهم","positive"
"الصائب","positive"
"الصالحات","positive"
"الصالحه","positive"
"الصح","positive"
"الصحه","positive"
"الصداره","positive"
"الصلاح","positive"
"الصواب","positive"
"الطموحه","positive"
"الطيبين","positive"
"العافيه","positive"
"العرفان","positive"
"العز","positive"
"العطا","positive"
"العظيم","positive"
"الفائده","positive"
"الفاتنه","positive"
"الفخم","positive"
"الفرح","positive"
"الفرحه","positive"
"الفكاهي","positive"
"الفله","positive"
"القميل","positive"
"المباركه","positive"
"المبدعين","positive"
"المتعه","positive"
"المجد","positive"
"المحافظه","positive"
"المحب","positive"
"المحبوب","positive"
"المحنك","positive"
"المشرق","positive"
"المطنوخ","positive"
"المعطلين","positive"
"المنشط","positive"
"الميزه","positive"
"النبيل","positive"
"النجاح","positive"
"النعم","positive"
"النعمه","positive"
"الوفا","positive"
"الولا","positive"
"الوناسه","positive"
"الونيس","positive"
"امان","positive"
"امجادك","positive"
"امل","positive"
"امن","positive"
"امنا","positive"
"امنين","positive"
"اناقه","positive"
"انبسطو","positive"
"انبسطوا","positive"
"انتصار","positive"
"انتعاش","positive"
"انجاز","positive"
"انجح","positive"
"انخفاض","positive"
"انعمت","positive"
"انفدا","positive"
"انفع","positive"
"انفعنا","positive"
"انقاذ","positive"
"اهدي","positive"
"اهم","positive"
"اهنيكي","positive"
"اهنيها","positive"
"اهواك","positive"
"اوفر","positive"
"ايجابي","positive"
"ايجايبه","positive"
"ايده","positive"
"بارك","positive"
"تخف","positive"
"جمال","positive"
"جهود","positive"
"بحمد","positive"
"بخير","positive"
"برافو","positive"
"بركه","positive"
"بريئه","positive"
"بسعدكم","positive"
"بسيط","positive"
"بسيطه","positive"
"بشاره","positive"
"بشاشه","positive"
"بشرا","positive"
"بشرى","positive"
"بشوش","positive"
"صداره","positive"
"بطل","positive"
"بفخر","positive"
"بفرح","positive"
"بفضل","positive"
"بقيه","positive"
"بنرتاح","positive"
"بنعمته","positive"
"بنعمه","positive"
"بننبسط","positive"
"يخفف","positive"
"تؤيد","positive"
"تاج","positive"
"تبريكات","positive"
"تبشر","positive"
"تبشرني","positive"
"تتحقق","positive"
"تتهنوا","positive"
"تتهنون","positive"
"تثقف","positive"
"تثقيف","positive"
"تحب","positive"
"تحتاج","positive"
"تحسين","positive"
"تحفظ","positive"
"تحفيزيه","positive"
"تحلقين","positive"
"تحيه","positive"
"تخفيف","positive"
"تخلصنا","positive"
"تدلعنا","positive"
"تدللون","positive"
"ترضى","positive"
"ترفيه","positive"
"ترفيهي","positive"
"تزين","positive"
"تستانس","positive"
"تستاهلون","positive"
"تسعده","positive"
"تسكين","positive"
"تشغلون","positive"
"تشغيل","positive"
"تصحيح","positive"
"تطمن","positive"
"تطمنوا","positive"
"تطور","positive"
"تطوعهم","positive"
"تطوعيه","positive"
"تعاون","positive"
"تعجبني","positive"
"تفاعل","positive"
"تفداك","positive"
"تقدرون","positive"
"تقدم","positive"
"تقصر","positive"
"تكاتف","positive"
"تكبير","positive"
"تلاحما","positive"
"تلبيه","positive"
"تمام","positive"
"تميزتي","positive"
"تنطلق","positive"
"تهاني","positive"
"تهانينا","positive"
"تهدي","positive"
"تهنئه","positive"
"توافيق","positive"
"تونس","positive"
"ثبات","positive"
"ثقافه","positive"
"ثمين","positive"
"ثمينه","positive"
"جاهزه","positive"
"جباره","positive"
"جدوى","positive"
"جديد","positive"
"جريئه","positive"
"جزاه","positive"
"جزاهم","positive"
"جميل","positive"
"جميلات","positive"
"جميله","positive"
"جهودك","positive"
"جهوده","positive"
"جوده","positive"
"جيد","positive"
"جيدا","positive"
"جيده","positive"
"حاب","positive"
"حب","positive"
"حبايبي","positive"
"حبيب","positive"
"حبيبنا","positive"
"حرص","positive"
"حرصه","positive"
"حره","positive"
"حريصه","positive"
"حسنه","positive"
"حظ","positive"
"حظاه","positive"
"حظكم","positive"
"حفظكم","positive"
"حكيم","positive"
"حكيما","positive"
"حكيمه","positive"
"حلال","positive"
"حلو","positive"
"حلوه","positive"
"حماس","positive"
"حماك","positive"
"حمدا","positive"
"حمدلله","positive"
"حميده","positive"
"حنانه","positive"
"خرافي","positive"
"خفاقه","positive"
"خفيفه","positive"
"خقه","positive"
"خيال","positive"
"خيالي","positive"
"خير","positive"
"خيرا","positive"
"خيره","positive"
"خيرها","positive"
"دعم","positive"
"دعمك","positive"
"دلع","positive"
"دلعنا","positive"
"دماثه","positive"
"ذخرا","positive"
"ذكا","positive"
"ذكي","positive"
"رائع","positive"
"رائعه","positive"
"راحه","positive"
"راضين","positive"
"راقيا","positive"
"رحم","positive"
"رحمه","positive"
"رخيص","positive"
"رخيصه","positive"
"رغد","positive"
"رهيب","positive"
"رهيبه","positive"
"روعه","positive"
"زاهر","positive"
"زين","positive"
"زيناه","positive"
"ساند","positive"
"سخرهم","positive"
"سداد","positive"
"سدد","positive"
"سدده","positive"
"سددهم","positive"
"سديده","positive"
"سرعه","positive"
"سعادتي","positive"
"سعاده","positive"
"سعيد","positive"
"سعيده","positive"
"سلامته","positive"
"سلامه","positive"
"سهله","positive"
"سمعا","positive"
"يستفيد","positive"
"شاكرا","positive"
"شامخ","positive"
"شامخون","positive"
"شكر","positive"
"شكرا","positive"
"شكره","positive"
"شكرها","positive"
"شهم","positive"
"صائب","positive"
"صادق","positive"
"صاروخ","positive"
"صامد","positive"
"صايب","positive"
"صحيح","positive"
"صحيحه","positive"
"صدق","positive"
"صلاح","positive"
"ضحكه","positive"
"طاعه","positive"
"طمانينه","positive"
"طيب","positive"
"طيبا","positive"
"طيبه","positive"
"عاشو","positive"
"عافيه","positive"
"عالبركه","positive"
"عز","positive"
"عزك","positive"
"عسل","positive"
"عشاق","positive"
"عطائه","positive"
"عظيم","positive"
"عظيمه","positive"
"عفيه","positive"
"عونكم","positive"
"عيد","positive"
"غالي","positive"
"غاليه","positive"
"غنوا","positive"
"غيث","positive"
"فتحت","positive"
"فخر","positive"
"فخرا","positive"
"فخم","positive"
"فخور","positive"
"فخوره","positive"
"فخورين","positive"
"فدا","positive"
"فداك","positive"
"فدوه","positive"
"فديت","positive"
"فديتكم","positive"
"فديتنا","positive"
"فرح","positive"
"فرحا","positive"
"فرحانين","positive"
"فرحت","positive"
"فرحتكم","positive"
"فرحتنا","positive"
"فرحه","positive"
"فرحوا","positive"
"فرحونا","positive"
"فرص","positive"
"فرصه","positive"
"فزعات","positive"
"فزعتهم","positive"
"فله","positive"
"فلوها","positive"
"فن","positive"
"فوائد","positive"
"فوائدها","positive"
"قادحين","positive"
"قادم","positive"
"قوي","positive"
"كافحت","positive"
"كبير","positive"
"كتكوته","positive"
"كريم","positive"
"كريمه","positive"
"كسبنا","positive"
"كفا","positive"
"كفاه","positive"
"كفو","positive"
"كفيت","positive"
"كويس","positive"
"كويسه","positive"
"كيوت","positive"
"لائقا","positive"
"لباك","positive"
"لبى","positive"
"لبيه","positive"
"لطف","positive"
"لطيف","positive"
"للابداع","positive"
"للافضل","positive"
"للترفيه","positive"
"للحياه","positive"
"للغالين","positive"
"لمصلحتنا","positive"
"لين","positive"
"مؤيد","positive"
"مؤيده","positive"
"مؤيدين","positive"
"مبارك","positive"
"مباركه","positive"
"مباركين","positive"
"مباهج","positive"
"مبدعه","positive"
"مبروك","positive"
"مبسوط","positive"
"مبسوطين","positive"
"مبشره","positive"
"مبهج","positive"
"متحدين","positive"
"متزنا","positive"
"متزنه","positive"
"متشوق","positive"
"متصدر","positive"
"متصدره","positive"
"متصدرين","positive"
"متعنا","positive"
"متعه","positive"
"متفائل","positive"
"متفائلا","positive"
"متقدمين","positive"
"متنفس","positive"
"مجانا","positive"
"مجدك","positive"
"محبته","positive"
"محبه","positive"
"محبوب","positive"
"محتفلين","positive"
"محتفي","positive"
"محظوظين","positive"
"محفزه","positive"
"محققين","positive"
"مدافعين","positive"
"مدلع","positive"
"مدلل","positive"
"مرتاح","positive"
"مرفوع","positive"
"مرونه","positive"
"مزز","positive"
"مززه","positive"
"مزه","positive"
"مزيونه","positive"
"مساعدات","positive"
"مساندتهم","positive"
"مستانس","positive"
"مستانسين","positive"
"مسك","positive"
"مسكنات","positive"
"مشرفه","positive"
"مشرق","positive"
"مصلحه","positive"
"مطانيخ","positive"
"مطمئن","positive"
"مطمئنين","positive"
"معالجه","positive"
"معقوله","positive"
"معين","positive"
"مفائل","positive"
"مفرح","positive"
"مفرحه","positive"
"مفيد","positive"
"مكاسب","positive"
"مكسب","positive"
"ملهم","positive"
"ملهمه","positive"
"ممتاز","positive"
"ممتازه","positive"
"ممتعه","positive"
"مميز","positive"
"مناسب","positive"
"منافع","positive"
"منتازه","positive"
"منتظر","positive"
"منصدر","positive"
"منطقي","positive"
"منفعه","positive"
"منقدكم","positive"
"منقدنا","positive"
"موفق","positive"
"موفقه","positive"
"نادر","positive"
"نافعا","positive"
"نافعه","positive"
"نافعين","positive"
"نبارك","positive"
"نتسلى","positive"
"نتفائل","positive"
"نتمنى","positive"
"نتيجه","positive"
"نثق","positive"
"نجاح","positive"
"نجاه","positive"
"نحبك","positive"
"نحسن","positive"
"نرفه","positive"
"نرقص","positive"
"نزخر","positive"
"نستانس","positive"
"نستاهل","positive"
"نستمتع","positive"
"نستودعك","positive"
"نشكر","positive"
"نطمح","positive"
"نعم","positive"
"نعمك","positive"
"نعمه","positive"
"نفتخر","positive"
"نفتدي","positive"
"نفتك","positive"
"نفخر","positive"
"نفدابها","positive"
"نفداك","positive"
"نفداها","positive"
"نفرح","positive"
"نفرفش","positive"
"نفع","positive"
"نفعها","positive"
"نفلها","positive"
"نفي","positive"
"نقدر","positive"
"نقله","positive"
"ننبسط","positive"
"ننعم","positive"
"نور","positive"
"نوعيه","positive"
"هنيالكم","positive"
"نيالكوم","positive"
"نيالكوم","positive"
"هادف","positive"
"هادفه","positive"
"هانت","positive"
"هنيئا","positive"
"واصلي","positive"
"واعيه","positive"
"ودي","positive"
"وعي","positive"
"وفا","positive"
"وفق","positive"
"وفقك","positive"
"وفقهم","positive"
"وفيت","positive"
"وناسه","positive"
"ونسنا","positive"
"ونسه","positive"
"يبارك","positive"
"يبتسم","positive"
"يبشرك","positive"
"يبشرهم","positive"
"يتطور","positive"
"يجنن","positive"
"يحبنا","positive"
"يحبوا","positive"
"يحبونه","positive"
"يحفظ","positive"
"يحفظك","positive"
"يحفظه","positive"
"يحمس","positive"
"يخلي","positive"
"يخليلنا","positive"
"يخير","positive"
"يدعمك","positive"
"يديم","positive"
"يرتاح","positive"
"يرحونا","positive"
"يرضي","positive"
"يساند","positive"
"يستاهل","positive"
"يستاهلون","positive"
"يستحق","positive"
"يسدد","positive"
"يسعدك","positive"
"يسعدكم","positive"
"يسمحون","positive"
"يشجع","positive"
"يشكر","positive"
"يشيد","positive"
"يصفق","positive"
"يصلح","positive"
"يطعني","positive"
"يطول","positive"
"يعز","positive"
"يعزز","positive"
"يعزك","positive"
"يعظم","positive"
"يفتح","positive"
"يمدحون","positive"
"ينجح","positive"
"ينفع","positive"
"يهنيكم","positive"
"يهون","positive"
"يوفر","positive"
"يوفق","positive"
"يوفقك","positive"
"يوفقكم","positive"
"يوفقنا","positive"
"يوفقه","positive"
"يوفقها","positive"
"يوفقهم","positive"
"يونس","positive"
"اتمنى","positive"
"احترام","positive"
"اصدق","positive"
"الحماس","positive"
"الفوز","positive"
"فوز","positive"
"يفوز","positive"
"حفظك","positive"
"عقبال","positive"
"فاز","positive"
"لعشاق","positive"
"يعشقون","positive"
"يفوزون","positive"
"بالفخر","positive"
"الاخلاص","positive"
"بالخير","positive"
"رعاك","positive"
"احب","positive"
"احترام","positive"
"افضل","positive"
"الحماس","positive"
"الحمدلله","positive"
"السعاده","positive"
"حلو","positive"
"شكرا","positive"
"فرحه","positive"
"مباركه","positive"
"مبروك","positive"
"مزز","positive"
"يشكر","positive"
"الفوز","positive"
"يعشقون","positive"
"يفوز","positive"
"يفوزون","positive"
"تحسين","positive"
"تعاون","positive"
"حظ","positive"
"فاز","positive"
"فوز","positive"
"نستانس","positive"
"احترام","positive"
"اصدق","positive"
"اصدقائي","positive"
"اشتقت","positive"
"اسلامي","positive"
"ارقصوا","positive"
"احدث","positive"
"اجره","positive"
"اتمنى","positive"
"اهلا","positive"
"حل","positive"
"رعاك","positive"
"رقصه","positive"
"لعيونك","positive"
"نفتحر","positive"
"يس","positive"
"اصدقائي","positive"
"الفوز","positive"
"مبارك","positive"
"ممتاز","positive"
"فوز","positive"
"اهلا","positive"
