"V1","V2"
"ماعاد يطمن","negative"
"ماعند جدتي","negative"
"ماعندك احد","negative"
"ماعندها نسانيه","negative"
"مافي احترام","negative"
"مافي داعي للفرح","negative"
"مافي رجال","negative"
"مافيه الصداره","negative"
"مافيه رجال","negative"
"مافيه فايده","negative"
"مافيها رجال","negative"
"ماقدم اي مستوى","negative"
"ماكان فيه رجال","negative"
"مالكم خوي","negative"
"ماله طعم","negative"
"مالهم خاتمه","negative"
"مالي خلق","negative"
"مانبيها","negative"
"مانفع","negative"
"مانفوز","negative"
"ماهم كفو","negative"
"ماهو كفو","negative"
"ماهي ليلتك","negative"
"مايبي","negative"
"مايجلدهم","negative"
"مايجمل","negative"
"مايحب","negative"
"مايحتسب","negative"
"مايحشمون","negative"
"مايحمس","negative"
"مايخفون الله","negative"
"مايرحم","negative"
"مايستاهل","negative"
"مايستحق","negative"
"مايستحون","negative"
"مايسرني","negative"
"مايشرف","negative"
"مايصحش الهياط","negative"
"مايضحكني","negative"
"مايعجب لاعدو ولاحبيب","negative"
"مايعرف","negative"
"مايفتخر","negative"
"مايفرح","negative"
"مايفوز","negative"
"مايمشي","negative"
"مب ناجح","negative"
"مباراه تحكيم","negative"
"مافاز","negative"
"مافرحت","negative"
"ماقدم","negative"
"مثل عدمه","negative"
"مثير للشفقه","negative"
"مثيره للشفقه","negative"
"محرق رزك","negative"
"مساعده الحكام","negative"
"مسح فيهم","negative"
"مش محظوظ","negative"
"مش ولابد","negative"
"مصخر مسخره","negative"
"مغمض عيونه","negative"
"مقصوصا جناحاه","negative"
"من جنبها","negative"
"مو بخير","negative"
"مو حب","negative"
"مو شايفه خير","negative"
"مو صحيح","negative"
"مو قد","negative"
"مو قد انو يلعب","negative"
"مو كفو","negative"
"مو محسوب","negative"
"مو واقف عليك","negative"
"مو يومك","negative"
"موب بيومه","negative"
"موب مركزه","negative"
"نادي الحكومه","negative"
"نادي تحكيم","negative"
"نادي حكومه","negative"
"نازل مرا","negative"
"نرتاح منهم","negative"
"نسخ الخيال","negative"
"نفش ريشه","negative"
"نفشه ريشه","negative"
"نهايط عالزعيق","negative"
"هاردلك","negative"
"هاردلكم","negative"
"وجه البومه","negative"
"وجه الردى","negative"
"وجه النحس","negative"
"ولا تسوى","negative"
"ولا ينفع","negative"
"ي اجير","negative"
"يا حارقهم","negative"
"يا خساره","negative"
"يتشدق بالاخطا","negative"
"يجيب العيد","negative"
"يجيه ضغط","negative"
"يحزن اكثر","negative"
"يدربي راسه","negative"
"يرحم ايامك","negative"
"يريحنا منه","negative"
"يستاهلون ضرب","negative"
"يشفشف الارض","negative"
"يعلمهم الادب","negative"
"يقلب المواجع","negative"
"يمال الكسر","negative"
"اعوذ بالله","negative"
"غير عادله","negative"
"يا صياح","negative"
"يا طحالبي","negative"
"يا طحلب","negative"
"يا طحلبي","negative"
"يا طحلوبي","negative"
"يا طلحوبي","negative"
"يا طواقي","negative"
"يا فقر","negative"
"يا فقراوي","negative"
"يا فقراويه","negative"
"يا لحنفوش","negative"
"يا لخدم","negative"
"يا لدفع الرباعي","negative"
"يالحنفوش","negative"
"يالخدم","negative"
"يالدفع الرباعي","negative"
"يا لطحالب","negative"
"يا لعبيد","negative"
"يا لفاشل","negative"
"يا لفقراوي","negative"
"يا لفقراويه","negative"
"يا لفقراويين","negative"
"يالطحالب","negative"
"يالعبيد","negative"
"يالفاشل","negative"
"يالفقراوي","negative"
"يالفقراويه","negative"
"يالفقراويين","negative"
"ابتلي","negative"
"ابتليت","negative"
"ابثرتنا","negative"
"ابشع","negative"
"ابعاده","negative"
"ابعدوه","negative"
"ابكي","negative"
"ابله","negative"
"اتسهتار","negative"
"اتعبني","negative"
"اتفلو","negative"
"اتفلوا","negative"
"اتمسخر","negative"
"اتهم","negative"
"ابثرتونا","negative"
"احباط","negative"
"احتلال","negative"
"احذر","negative"
"احقر","negative"
"احمق","negative"
"اخشى","negative"
"اخطا","negative"
"اخطر","negative"
"ارتفع","negative"
"ابتلا","negative"
"اجرام","negative"
"ارحموا","negative"
"ارهاب","negative"
"ازعاج","negative"
"ازعجتونا","negative"
"ازعجنا","negative"
"ازعجونا","negative"
"ازفت","negative"
"اساطير","negative"
"استغرب","negative"
"استفزاز","negative"
"اسوا","negative"
"اشفق","negative"
"اشك","negative"
"اصعب","negative"
"اغبيا","negative"
"اغتصاب","negative"
"افا","negative"
"افساد","negative"
"افسدت","negative"
"افشل","negative"
"اقاله","negative"
"اقبح","negative"
"اقرفتونا","negative"
"اقل","negative"
"اكذب","negative"
"اكره","negative"
"اكرهه","negative"
"الاحمق","negative"
"الاستهتار","negative"
"الاسوا","negative"
"الاضعف","negative"
"الالم","negative"
"الانحطاط","negative"
"الانهزاميه","negative"
"الاهمال","negative"
"الباطل","negative"
"التافه","negative"
"التافهه","negative"
"التخلف","negative"
"التدليس","negative"
"التطبيل","negative"
"التعاسه","negative"
"التناقضات","negative"
"الجحيم","negative"
"الجريمه","negative"
"الجهله","negative"
"الحثاله","negative"
"الحرام","negative"
"الحقير","negative"
"الخاطئ","negative"
"الخايس","negative"
"الخايسه","negative"
"الخذلان","negative"
"الخسائر","negative"
"الخسران","negative"
"الخطا","negative"
"الخطر","negative"
"الخلا","negative"
"الخلل","negative"
"الخوف","negative"
"الدلع","negative"
"الدمار","negative"
"الديون","negative"
"الذل","negative"
"الزباله","negative"
"الزحمه","negative"
"الزفت","negative"
"الزله","negative"
"الساذجه","negative"
"السبايك","negative"
"السلبيه","negative"
"السلنتح","negative"
"الصداع","negative"
"الصراخ","negative"
"الضحيه","negative"
"الضعف","negative"
"الضغط","negative"
"الطمع","negative"
"العاهره","negative"
"العبث","negative"
"العجاف","negative"
"العفن","negative"
"العقاب","negative"
"العقوبه","negative"
"العقيم","negative"
"العهر","negative"
"الغا","negative"
"الغبا","negative"
"الغبنه","negative"
"الغبي","negative"
"الغريب","negative"
"الغش","negative"
"الغفله","negative"
"الفاسد","negative"
"الفاسدين","negative"
"الفاشل","negative"
"الفاشلين","negative"
"الفاضي","negative"
"الفاغر","negative"
"الفساد","negative"
"الفشل","negative"
"الفقر","negative"
"الفقير","negative"
"القبح","negative"
"القذاره","negative"
"القذر","negative"
"القذره","negative"
"القهر","negative"
"الكاذبين","negative"
"الكارثه","negative"
"الكذابين","negative"
"الكذب","negative"
"الكسل","negative"
"الكلب","negative"
"الكوارث","negative"
"اللعنه","negative"
"الماحي","negative"
"المتشائمين","negative"
"المتضرر","negative"
"المجاملات","negative"
"المخجل","negative"
"المرض","negative"
"المرير","negative"
"المريضه","negative"
"المشكله","negative"
"المصخره","negative"
"المصيبه","negative"
"المطبلين","negative"
"المعفن","negative"
"المعفنه","negative"
"المغبون","negative"
"المفتري","negative"
"المفسدون","negative"
"المفسدين","negative"
"المقصر","negative"
"المقصرين","negative"
"المنافق","negative"
"المهايط","negative"
"المهزله","negative"
"المهزوم","negative"
"الميت","negative"
"النباح","negative"
"النجس","negative"
"النحس","negative"
"النذاله","negative"
"النصب","negative"
"النكبه","negative"
"النهب","negative"
"الهاويه","negative"
"الهجوم","negative"
"الهزيمه","negative"
"الهياط","negative"
"الوسخ","negative"
"الوضيع","negative"
"الياس","negative"
"امحق","negative"
"انتهى","negative"
"انجس","negative"
"انخفاض","negative"
"انذار","negative"
"انطم","negative"
"انعدام","negative"
"انقهر","negative"
"اه","negative"
"اهب","negative"
"اهدار","negative"
"اهمال","negative"
"بايخه","negative"
"اضاعه","negative"
"باطل","negative"
"الخساره","negative"
"بايخ","negative"
"تهمه","negative"
"خسر","negative"
"خطر","negative"
"بربسه","negative"
"رفض","negative"
"بزران","negative"
"بكائيات","negative"
"بياخه","negative"
"يخافون","negative"
"يغرق","negative"
"يفسد","negative"
"تافه","negative"
"تبا","negative"
"تبطون","negative"
"تبن","negative"
"تخبط","negative"
"تخبطات","negative"
"تخبيص","negative"
"تخرب","negative"
"تخوف","negative"
"تدمير","negative"
"تدهور","negative"
"تراب","negative"
"تراجع","negative"
"تسب","negative"
"تستفز","negative"
"تشويه","negative"
"تضرر","negative"
"تطبل","negative"
"تطبيل","negative"
"تطرف","negative"
"تطقطقون","negative"
"تعاقب","negative"
"تعبت","negative"
"تعبنا","negative"
"تف","negative"
"تفسد","negative"
"تفله","negative"
"تفو","negative"
"تقتل","negative"
"تكره","negative"
"تلوث","negative"
"تناقض","negative"
"تنبحون","negative"
"تنزف","negative"
"جحيم","negative"
"جراح","negative"
"جريمه","negative"
"جلطه","negative"
"جهنم","negative"
"حاقد","negative"
"حثاله","negative"
"حذفت","negative"
"حرام","negative"
"حرب","negative"
"حرمان","negative"
"حرمتهم","negative"
"حرمه","negative"
"حريقه","negative"
"حزينه","negative"
"حسبي","negative"
"حسد","negative"
"حسره","negative"
"حمار","negative"
"حمير","negative"
"خاب","negative"
"خاطئ","negative"
"خاطى","negative"
"خافوا","negative"
"خايب","negative"
"خبث","negative"
"خبيث","negative"
"خربانه","negative"
"خربت","negative"
"خسائر","negative"
"خساره","negative"
"خسران","negative"
"خسرنا","negative"
"خطا","negative"
"خلل","negative"
"خوف","negative"
"خوفا","negative"
"خياس","negative"
"خيب","negative"
"داجين","negative"
"دلع","negative"
"دمار","negative"
"دمر","negative"
"راحت","negative"
"زرف","negative"
"زعلانين","negative"
"زفت","negative"
"زق","negative"
"زلايب","negative"
"ساذج","negative"
"سافل","negative"
"سبات","negative"
"سبايك","negative"
"مشاكل","negative"
"سخافه","negative"
"سخيف","negative"
"سخيفه","negative"
"سرق","negative"
"سرقات","negative"
"سرقت","negative"
"سرقه","negative"
"سرقوا","negative"
"سرقوها","negative"
"سلبيات","negative"
"سلط","negative"
"سلق","negative"
"سوا","negative"
"سيء","negative"
"سيئه","negative"
"سيا","negative"
"سيندم","negative"
"شر","negative"
"شين","negative"
"صعب","negative"
"صعبه","negative"
"صفعه","negative"
"ضاع","negative"
"ضاعت","negative"
"ضايعين","negative"
"ضايق","negative"
"ضجه","negative"
"ضحايا","negative"
"ضحيه","negative"
"ضد","negative"
"ضدنا","negative"
"ضده","negative"
"ضرب","negative"
"ضررا","negative"
"ضعف","negative"
"ضعيف","negative"
"ضعيفه","negative"
"ضغط","negative"
"ضياع","negative"
"ضيع","negative"
"ضيعت","negative"
"ضيم","negative"
"طارت","negative"
"طحالب","negative"
"طرد","negative"
"طرش","negative"
"طز","negative"
"طفشت","negative"
"طفشنا","negative"
"طقطقه","negative"
"ظالم","negative"
"ظلم","negative"
"ظلمكم","negative"
"عار","negative"
"عاله","negative"
"عاهات","negative"
"عاهره","negative"
"عبث","negative"
"عجز","negative"
"عذرا","negative"
"عزاكم","negative"
"عزانا","negative"
"عطل","negative"
"عقوبه","negative"
"عناد","negative"
"عنصريه","negative"
"عيب","negative"
"غبا","negative"
"غبنه","negative"
"غبي","negative"
"غبيه","negative"
"غش","negative"
"غصب","negative"
"غضب","negative"
"غلط","negative"
"غلطه","negative"
"غياب","negative"
"فاضيه","negative"
"فاسد","negative"
"فاسدين","negative"
"فاشل","negative"
"فاشله","negative"
"فاشلين","negative"
"فاضي","negative"
"فاغر","negative"
"فساد","negative"
"فسادا","negative"
"فسادهم","negative"
"فشل","negative"
"فشلت","negative"
"فشلتونا","negative"
"فشله","negative"
"فشلهم","negative"
"فشيله","negative"
"فضائح","negative"
"فضح","negative"
"فضحت","negative"
"فضحتهم","negative"
"فضحتونا","negative"
"فضيحه","negative"
"فكونا","negative"
"فقر","negative"
"فقرا","negative"
"فوضى","negative"
"قاسي","negative"
"قاسيه","negative"
"قاهرني","negative"
"قبحكم","negative"
"قبيح","negative"
"قتل","negative"
"قتلت","negative"
"قذاره","negative"
"قذر","negative"
"قذره","negative"
"قله","negative"
"قليل","negative"
"قهر","negative"
"كارثه","negative"
"كذاب","negative"
"كذابين","negative"
"كذب","negative"
"كذبه","negative"
"كذبوا","negative"
"كسر","negative"
"كلاب","negative"
"كلب","negative"
"كمخه","negative"
"كيدهم","negative"
"لعن","negative"
"لعنه","negative"
"لفساد","negative"
"لقتل","negative"
"للاسف","negative"
"للخلف","negative"
"لوموا","negative"
"مؤخره","negative"
"مؤلم","negative"
"مات","negative"
"ماش","negative"
"مالت","negative"
"مبزره","negative"
"متاخره","negative"
"متخلفه","negative"
"متذمر","negative"
"متضايق","negative"
"متناقض","negative"
"مجانين","negative"
"مجرمين","negative"
"محاسبه","negative"
"محنه","negative"
"مخجل","negative"
"مخيس","negative"
"مدحدر","negative"
"مدلع","negative"
"مرضى","negative"
"مريض","negative"
"مريضين","negative"
"مزبله","negative"
"مزعج","negative"
"مساكين","negative"
"مستحيل","negative"
"مستحيله","negative"
"مستفز","negative"
"مستنقع","negative"
"مسخره","negative"
"مسكين","negative"
"مشكلتنا","negative"
"مشكله","negative"
"مشينه","negative"
"مصايب","negative"
"مصخت","negative"
"مصخره","negative"
"مصيبه","negative"
"مطبل","negative"
"مطبلين","negative"
"معاقبه","negative"
"معاناه","negative"
"معتوه","negative"
"معفن","negative"
"مقززه","negative"
"مكروه","negative"
"ملينا","negative"
"ممل","negative"
"منافق","negative"
"منقهر","negative"
"مهايط","negative"
"مهزله","negative"
"موتو","negative"
"ميت","negative"
"ناقص","negative"
"نبكي","negative"
"نجاسه","negative"
"نزعل","negative"
"نشبه","negative"
"نصاب","negative"
"نطقطق","negative"
"نفاق","negative"
"نفتك","negative"
"نكب","negative"
"نكبنا","negative"
"نكبه","negative"
"نكد","negative"
"نهيق","negative"
"هدر","negative"
"همج","negative"
"همجيه","negative"
"هياط","negative"
"المسخره","negative"
"انهيار","negative"
"اهانه","negative"
"تدني","negative"
"تشتيت","negative"
"وجع","negative"
"خجلا","negative"
"ورعان","negative"
"وصخ","negative"
"وع","negative"
"هدم","negative"
"وهميه","negative"
"يتفلسف","negative"
"يسحبون","negative"
"يلعن","negative"
"ينبح","negative"
"يبطي","negative"
"يبكي","negative"
"يتباكون","negative"
"يتجاهل","negative"
"يتضرر","negative"
"يتعب","negative"
"يتهكم","negative"
"يحاسب","negative"
"يحرم","negative"
"يحزن","negative"
"يخرب","negative"
"يخسر","negative"
"يخسون","negative"
"يخشى","negative"
"يدمر","negative"
"يرحل","negative"
"يزعمون","negative"
"يسب","negative"
"يسكت","negative"
"يشتكي","negative"
"يصيح","negative"
"يصيحون","negative"
"يضر","negative"
"يضيع","negative"
"يطبل","negative"
"يطبلون","negative"
"يطقطق","negative"
"يطقطقون","negative"
"يطير","negative"
"يعاني","negative"
"يعبث","negative"
"يعطل","negative"
"يغبن","negative"
"يفتقد","negative"
"يفشل","negative"
"يفضح","negative"
"يقتلون","negative"
"يقلعك","negative"
"يقهر","negative"
"يقهرني","negative"
"يكذب","negative"
"يلطمون","negative"
"يلعنك","negative"
"يلعنكم","negative"
"ينتقد","negative"
"ينتقدون","negative"
"ينتقم","negative"
"ينسف","negative"
"ينقلع","negative"
"يهايط","negative"
"ابتلي","negative"
"ابتليت","negative"
"ابثرتنا","negative"
"ابشع","negative"
"ابعاده","negative"
"ابعدوه","negative"
"ابكي","negative"
"ابله","negative"
"اتسهتار","negative"
"اتعبني","negative"
"اتفلو","negative"
"اتفلوا","negative"
"اتمسخر","negative"
"اتهم","negative"
"اجبن","negative"
"اجتاح","negative"
"اجحاف","negative"
"اجرم","negative"
"اجرمو","negative"
"اجزم","negative"
"اجلد","negative"
"اجلدهم","negative"
"احتاسوا","negative"
"احتجاج","negative"
"احتجاجا","negative"
"احتجاجات","negative"
"احترامي","negative"
"احتكاك","negative"
"احرج","negative"
"احرجت","negative"
"احرق","negative"
"احرقهم","negative"
"احزني","negative"
"احول","negative"
"اخ","negative"
"اخبث","negative"
"اخراج","negative"
"اخراجه","negative"
"اخرصو","negative"
"اخس","negative"
"اخسروه","negative"
"اخضع","negative"
"اخطاء","negative"
"اخطائك","negative"
"اخطائه","negative"
"اخطاك","negative"
"اخطاه","negative"
"اخفاق","negative"
"اخفاقات","negative"
"اخفاقاتكم","negative"
"اخفوا","negative"
"ادراج","negative"
"اذلف","negative"
"اذناب","negative"
"اربك","negative"
"ارحل","negative"
"ارحمهم","negative"
"اردى","negative"
"ارقع","negative"
"ارهاق","negative"
"ازبل","negative"
"ازعاجهم","negative"
"ازعجتنا","negative"
"ازق","negative"
"اسبك","negative"
"استح","negative"
"استحقر","negative"
"استحوا","negative"
"استخف","negative"
"استرجلو","negative"
"استعراض","negative"
"استعراضك","negative"
"استعراضه","negative"
"استعراضي","negative"
"استغفال","negative"
"استقال","negative"
"استقالت","negative"
"استقاله","negative"
"استهتارك","negative"
"استهتر","negative"
"استهلك","negative"
"اسقاط","negative"
"اسكت","negative"
"اسوى","negative"
"اسير","negative"
"اشخل","negative"
"اشغلنا","negative"
"اصفره","negative"
"اصفعها","negative"
"اصفقه","negative"
"اصيب","negative"
"اضاع","negative"
"اضاعت","negative"
"اضاعوك","negative"
"اضر","negative"
"اضرب","negative"
"اضطهاد","negative"
"اضعت","negative"
"اضعف","negative"
"اضعفت","negative"
"اضعنا","negative"
"اضغط","negative"
"اضغطهم","negative"
"اطرد","negative"
"اطردوا","negative"
"اطردوه","negative"
"اطفال","negative"
"اطفالها","negative"
"اطقطق","negative"
"اظلم","negative"
"اظلمك","negative"
"اظلموك","negative"
"اعتزل","negative"
"اعدا","negative"
"اعماك","negative"
"اعماهم","negative"
"اعمى","negative"
"اعيت","negative"
"اغبى","negative"
"اغبي","negative"
"اغتالوا","negative"
"اغتصب","negative"
"اغث","negative"
"اغفال","negative"
"اغفل","negative"
"الغى","negative"
"اغلاطه","negative"
"اغلاقه","negative"
"افتقد","negative"
"افسدا","negative"
"افسدو","negative"
"افضع","negative"
"افقد","negative"
"افقدهم","negative"
"افلس","negative"
"اقالوه","negative"
"اقذر","negative"
"اقفل","negative"
"اقلعو","negative"
"اقلعوه","negative"
"اكتساح","negative"
"اكسر","negative"
"اكلوك","negative"
"الابتذال","negative"
"الاحول","negative"
"الاختناق","negative"
"الاخرق","negative"
"الاخطا","negative"
"الاخفاقات","negative"
"الازعاج","negative"
"الازيرق","negative"
"الاستخفاف","negative"
"الاستعراضي","negative"
"الاستنقاص","negative"
"الاستهانه","negative"
"الاستهبال","negative"
"الاصابه","negative"
"الاصيفر","negative"
"الاطاحه","negative"
"الاعتدا","negative"
"الاعمى","negative"
"الاغمائيه","negative"
"الاقل","negative"
"الاكراه","negative"
"الامعات","negative"
"الامعه","negative"
"الانبطاح","negative"
"الانبطاحه","negative"
"الانبطاحي","negative"
"الانبطاحيه","negative"
"الانتقادات","negative"
"الانتقام","negative"
"الانسحاب","negative"
"الاهانه","negative"
"البؤسا","negative"
"البؤساء","negative"
"الباهت","negative"
"الباهته","negative"
"البربسه","negative"
"البزر","negative"
"البغيل","negative"
"البقراويه","negative"
"البكا","negative"
"البكائيات","negative"
"البومه","negative"
"التبطح","negative"
"التبغ","negative"
"التجبر","negative"
"التحريضيه","negative"
"التحكيم","negative"
"التخاذل","negative"
"التخبيص","negative"
"التدليل","negative"
"التريقه","negative"
"التسلاب","negative"
"التسلل","negative"
"التسللات","negative"
"التعازي","negative"
"التعالي","negative"
"التعثر","negative"
"التعدي","negative"
"التعصب","negative"
"التفريط","negative"
"التفلسف","negative"
"التقليل","negative"
"التماسيح","negative"
"التناقض","negative"
"التنكيد","negative"
"التهديد","negative"
"التهكم","negative"
"التوتر","negative"
"الجاحد","negative"
"الجبان","negative"
"الجبانه","negative"
"الجبنا","negative"
"الجحافل","negative"
"الجحش","negative"
"الجحفله","negative"
"الجحوش","negative"
"الجزم","negative"
